UniqueCount	AmbigCount
0	549
0	2133
19	1216
133	4837
47	1552
0	3437
60	898
153	219
30	3395
1	4727
0	1868
108	559
0	2061
2	1784
60	2004
238	224
212	301
81	3387
45	2608
18	816
206	2677
27	219
124	1
75	2
105	205
61	165
136	6195
0	6627
317	0
291	2713
127	292
107	7635
0	9013
0	9313
0	8227
0	9354
0	7251
169	251
0	993
22	1214
37	1321
0	3022
100	2948
0	2717
0	3100
0	3047
31	2645
113	5906
0	2010
0	1230
89	71
331	2850
0	801
10	1991
21	867
0	1209
0	1437
172	0
0	1881
0	1035
0	1482
7	883
101	966
0	693
264	626
245	304
60	743
279	439
0	6735
0	6725
0	1302
41	562
416	3188
174	633
59	3310
73	3039
99	2718
274	886
472	886
35	1475
0	1561
22	1375
0	269
4	2572
144	598
60	1908
160	210
7	2495
28	681
1135	154
93	154
36	2558
62	3661
0	4023
133	4284
91	3774
0	4022
251	13
0	114
276	242
159	300
59	0
270	0
86	8107
21	8048
84	8098
53	429
30	253
110	15
131	15
46	4711
112	2890
74	5482
38	5574
0	967
14	688
378	14
35	393
0	447
879	1054
1557	1089
94	712
97	0
43	280
240	887
133	774
109	795
99	230
64	5
63	98
86	49
1923	1557
69	1556
92	1010
59	842
192	413
300	0
113	4747
0	4331
0	4432
0	4848
128	4688
52	3393
2	4260
2228	210
124	210
67	22
928	2411
43	268
0	2411
56	287
80	13
38	832
63	832
78	567
111	1311
1	3665
78	3400
77	614
254	6
43	49
150	81
81	231
35	831
26	889
45	835
69	858
115	956
176	979
219	258
220	3788
84	3803
69	269
0	7473
11	6320
0	6958
3	7509
63	6698
56	5879
0	5574
115	667
37	4825
243	3157
101	232
154	522
174	2077
41	683
86	0
149	22
168	0
986	338
122	338
529	2254
492	1750
0	839
9	672
64	637
48	352
3260	0
0	4757
112	4512
61	891
0	10195
0	10261
1	10261
147	248
233	389
105	3533
438	1996
344	2741
13	2840
88	2379
85	2839
2	745
7	876
69	268
82	3792
0	3989
51	3865
538	3765
209	336
554	630
114	296
145	3605
328	1262
70	4021
20	4340
33	4011
91	89
68	87
143	1638
195	1131
66	1220
267	165
254	811
0	338
72	578
0	5525
67	6060
94	5772
81	5461
0	5274
237	5497
29	4715
71	1482
125	5390
28	2101
54	1878
125	282
56	2238
51	17
94	18
82	18
82	29
26	5762
91	5762
130	0
10	988
7	970
51	721
160	675
160	458
231	179
0	5928
0	5871
0	6166
0	6433
13	5517
0	6587
0	6382
21	3310
537	0
1240	0
396	0
66	0
322	0
184	0
62	0
260	0
450	0
422	0
143	0
160	0
232	0
114	0
125	0
111	0
165	0
79	0
264	0
88	0
171	0
112	0
80	0
225	0
123	0
79	0
230	0
49	0
68	0
264	0
180	0
250	0
324	0
274	0
76	0
179	8575
79	85
143	8533
284	5194
280	235
299	1053
104	1283
59	729
77	715
101	29
204	699
0	4549
34	4254
83	4120
604	2094
141	23
127	1080
2516	396
50	140
180	236
335	104
421	5
108	5
70	1246
76	1105
97	1207
77	5
6241	900
100	39
198	0
303	1550
156	222
0	3515
1	2339
0	2762
157	1996
4	2648
50	2781
67	18
145	693
346	2467
56	185
50	1238
506	426
218	198
24	345
23	291
140	1417
129	1613
75	0
89	1891
0	3941
195	2801
94	880
107	1682
68	1668
89	1114
43	12746
0	12620
0	6881
0	12317
0	12785
3	8037
60	416
259	16
53	547
0	3603
14	775
40	5641
349	2992
36	4705
371	1989
70	3827
141	1
107	97
7	2319
164	2166
83	1069
47	1025
62	810
61	871
37	1010
147	131
190	1130
286	607
109	607
38	180
0	2941
430	4953
0	4962
44	273
68	4144
71	1999
0	1486
0	1881
35	1178
0	664
149	6734
152	1724
171	1004
52	2657
39	852
190	2466
23	430
145	1171
620	876
25	876
150	0
1414	185
21	185
195	1929
147	598
26	2018
23	926
64	1993
327	0
203	142
152	2236
78	85
214	191
21	1895
49	364
197	644
155	0
167	60
145	18
229	2015
83	1770
0	1999
114	1739
12	6877
50	6822
68	6894
288	6686
369	4
212	0
100	58
184	597
154	3170
185	575
111	37
33	616
87	2040
28	1879
105	1599
209	2
97	904
272	816
81	12084
359	146
70	3926
181	8691
12	12239
688	8160
82	119
0	8020
58	1137
306	5
145	2
0	1726
141	1236
0	1147
0	1384
15	1747
111	3003
0	2313
166	1214
0	1933
158	0
253	4511
69	5371
78	5458
2	6754
132	4567
8	1749
94	2511
0	4558
130	4777
53	3986
181	1089
129	357
173	573
30	3361
0	2701
80	636
50	3016
81	1876
56	154
69	548
185	355
0	638
97	3291
0	2491
117	3385
145	1505
28	211
111	56
37	1255
22	1191
201	88
22	845
114	975
139	189
148	0
276	0
39	14272
145	934
33	643
2544	17273
0	17034
89	15222
0	17026
1	17282
0	13892
0	16053
114	376
92	3002
0	10633
116	0
103	9560
161	1493
276	99
93	1509
55	1377
276	1
154	794
267	98
1	50
0	1415
109	1409
0	1998
0	1308
9	531
0	1891
77	717
115	102
47	295
142	325
669	689
48	736
107	136
72	103
177	79
103	125
30	280
28	0
37	160
23	1035
94	996
68	1069
726	1486
34	1484
4167	0
378	0
9	1890
1	1045
7	1489
17	719
0	708
0	883
0	445
0	8875
0	8854
54	8376
11	9101
0	8845
53	2414
2	1246
105	1401
447	126
180	0
14	6540
0	6729
0	6640
273	6519
102	6777
92	6728
204	6512
13	6505
0	6615
59	6627
43	970
986	396
334	117
111	2258
47	2258
0	8244
15	7117
102	7201
59	2229
77	2227
39	112
76	2633
322	1
97	1250
94	0
97	419
613	188
82	127
112	0
163	0
865	0
70	188
501	6310
78	4631
51	6261
32	6100
381	2851
236	551
11	3116
34	3048
27	3038
63	2972
7	2197
13	2078
39	1029
72	1184
3	399
214	0
95	255
8	509
208	909
56	807
182	449
75	519
280	0
95	172
1158	840
20	108
581	560
192	474
0	4613
34	4464
75	0
112	45
331	162
72	1529
84	1307
74	1473
72	858
285	1135
213	964
1830	321
161	301
125	20
52	1909
143	2147
55	2141
13	2005
31	2005
97	0
354	576
374	1635
627	1633
20	949
148	0
35	6895
46	6894
416	6365
212	335
106	528
207	508
126	322
25	1761
23	1620
137	1761
2313	4712
37	4902
119	866
22	1437
15	1442
145	1268
107	141
123	254
26	1857
61	12108
47	11707
0	7779
38	11421
0	20835
41	1914
127	4393
150	1770
16	6721
821	1922
1258	21291
241	1312
0	21807
78	20942
104	262
74	2
168	18327
95	1393
127	1727
237	1981
169	5161
156	1594
22	1502
70	751
1074	2179
0	3704
497	3234
42	821
79	950
51	1110
86	895
332	0
32	407
105	413
81	23
159	500
38	500
75	9372
117	10681
90	14280
92	12308
2	11967
145	14211
55	11887
26	741
1	2001
10	12317
0	15686
3056	15218
102	41
40	6170
9	8183
137	6207
200	6494
22	7899
629	888
526	665
95	3706
10	3384
21	7097
1134	1611
4032	1953
155	1953
138	0
45	717
45	1126
36	955
80	701
25	378
3	197
81	261
22	9550
84	8370
90	713
7	2183
3399	9013
102	315
184	173
41	8170
82	7531
34	3071
0	8818
28	9082
80	2022
95	1138
0	11870
0	11601
9	11997
31	10818
0	12194
0	12365
0	11974
0	12275
25	3382
24	4312
74	2074
96	2013
5	2511
176	2471
47	1079
584	7
54	3250
75	3256
159	514
110	890
317	1207
88	543
137	921
75	818
61	703
1187	13086
69	8666
1651	13499
160	13520
131	466
64	1639
73	655
48	3583
95	3808
64	3848
33	3927
100	4214
135	0
341	428
131	210
77	0
24	3603
963	5226
51	4036
69	3437
67	4571
30	2829
34	2047
37	2130
99	2084
93	1702
80	1225
39	1583
26	517
80	1253
168	312
2	453
33	742
20	467
134	270
121	458
41	2313
94	2956
61	3173
28	3942
0	3942
119	1302
124	2943
500	3161
104	286
0	454
55	2393
42	1334
18	3288
243	0
275	423
36	3497
16	2304
153	1638
99	610
115	458
57	258
356	110
0	518
84	34
171	2607
168	3212
2	5061
20	6063
0	6336
96	1951
243	232
232	3212
48	1303
50	1024
190	268
31	1932
199	688
108	1653
40	689
154	750
0	1559
108	640
108	869
167	779
39	893
51	772
208	0
20	2168
8	1664
54	778
61	588
40	1255
102	2189
1	1516
43	3
110	584
3239	4769
394	0
66	4767
75	4768
57	4768
9	4527
371	610
111	474
235	136
48	295
112	270
68	288
82	266
658	6273
11	6273
80	5553
0	4127
68	3268
1149	3149
119	216
146	1517
50	987
33	3265
16	1729
56	1642
82	0
402	886
163	219
51	1200
124	1200
37	973
35	1200
344	2783
66	522
68	504
236	40
2426	40
303	8
136	536
579	2254
44	705
156	144
9	391
1226	107
255	1164
69	569
110	111
65	4829
29	979
43	230
97	3788
30	4268
21	1276
55	108
37	1313
1	556
1383	113
166	2
254	3084
42	2708
153	0
239	276
113	51
17	4580
53	4554
85	281
0	3055
76	2870
236	54
76	591
512	0
1	51
154	181
166	123
115	1974
49	1974
55	5212
1262	6714
28	13956
97	15240
78	14110
31	14975
0	15741
0	15008
1	13956
0	11790
234	301
89	477
27	1235
126	457
122	1207
33	494
5	6163
6	8235
237	8177
297	5753
35	6689
173	1680
80	593
96	0
43	7714
0	8779
133	7934
45	7762
58	411
123	222
109	12
141	181
0	6638
145	6457
0	6537
0	6356
58	1957
148	2095
235	1342
171	1583
106	2070
30	1695
172	196
36	237
32	2547
128	86
105	8379
56	8379
61	8353
48	995
0	8600
0	8545
74	8353
416	7673
157	7112
52	870
528	1790
418	256
7	279
12	279
74	133
96	299
53	263
97	249
165	0
12	4679
0	4681
128	4711
479	2718
14	4083
123	4357
402	4414
27	1929
41	99
12	955
11	3405
170	520
107	3172
305	492
77	732
190	3269
80	2893
425	3179
508	701
90	945
15	601
481	2
113	110
59	1939
201	0
208	231
157	1966
173	34
210	0
223	99
185	803
18	165
14	9927
41	9924
60	10270
30	9972
197	63
25	9591
30	8534
44	10054
104	9629
21	9823
13	9746
9	9456
24	10069
46	9484
0	10247
48	9597
52	9394
45	9399
10	8531
31	9619
20	9451
13	9720
54	2120
29	8685
559	7175
212	81
76	1854
61	2723
11	2777
37	2691
16	1058
14	919
231	506
164	1352
83	1358
2099	15
25	671
2	4780
159	4618
48	153
420	415
102	0
0	1877
117	521
41	416
103	106
140	41
42	818
80	7613
0	9012
0	9369
0	8226
7	9371
0	1058
92	1716
163	1682
0	983
49	1565
105	917
462	10
109	1701
15	1426
23	1059
58	896
196	0
0	3111
39	2766
103	2948
0	3061
40	6098
3	2494
13	2721
0	3100
14	1217
193	2850
0	801
23	1991
84	1781
17	867
26	1442
0	1778
425	2713
67	0
32	320
116	106
25	316
201	362
76	362
738	4087
314	4087
58	2261
76	7296
2	8202
124	896
108	0
80	175
92	0
120	1589
126	2275
100	332
97	1496
13	1152
0	2180
11	1263
45	7813
77	2361
67	2147
208	1471
173	226
20	2362
91	2375
46	2644
504	2627
35	238
64	2844
85	468
375	336
169	0
42	2758
