gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	20853.0264238169	21889.4649996812	16114.8431951668	20135.6723207222	19861.0873880467	15958.6197735186
ENSG00000141959	PFKL	10800.0796172511	9159.15142639108	9952.27141835813	10561.1285406368	9413.6040578636	9132.77715626096
ENSG00000142149	HUNK	3460.27678206499	2655.09710800441	2762.31587447413	2767.48051046812	2407.68079783833	3223.04059453554
ENSG00000142156	COL6A1	4205.71614699396	5266.77068127846	4221.406099624	5341.92978345517	5428.49650253011	3945.96252315056
ENSG00000142166	IFNAR1	3566.3446306903	1273.47147191752	1778.187399521	2617.46542816586	1720.43255458697	2205.42228690076
ENSG00000142168	SOD1	1165.19104374209	1373.66490808634	1766.59572388062	1337.60001096223	1350.45991620935	1281.19279695455
ENSG00000142173	COL6A2	5642.35673876784	5120.79995658484	6446.2582858311	4828.37884526373	5903.64539342904	5763.21662954002
ENSG00000142178	SIK1	2024.53263134764	3853.96225703496	2358.54218839046	1506.35109516468	3206.74586791399	4029.40094634038
ENSG00000142182	DNMT3L	1622.83964442292	2004.52490244866	1182.30060019051	1837.75665079656	1269.08520890886	1266.31349042746
ENSG00000142185	TRPM2	10255.1440172409	9274.37522441538	10261.3974951695	12437.0862493127	10172.347734525	9760.88805022389
ENSG00000142188	TMEM50B	3393.93573790471	3663.74493989744	4157.27955361815	2984.53997612364	3626.57521944697	3146.42381559238
ENSG00000142192	APP	10452.3380172505	8670.29483493621	10645.6329288794	12976.7210532173	11593.4017065706	9965.28860682474
ENSG00000142197	DOP1B	3589.78323759289	4574.85514890709	4608.06004550229	4974.49893926892	3030.01763317154	4081.52021680325
ENSG00000142207	URB1	4418.8534522166	3924.53692500521	3961.00724783445	2991.17961644002	3073.21965611147	4102.40400418069
ENSG00000154639	CXADR	2902.56990183244	2215.86102782494	2887.01228971177	2110.67381851738	2753.5750804197	4002.27297003972
ENSG00000154640	BTG3	1149.58676525804	2125.16888058865	1285.63314699474	1532.51174385593	1382.83035709584	1980.97390165384
ENSG00000154642	C21orf91	3997.10914492662	4022.12102373207	3463.74115375196	2554.07597023337	4789.67430134753	3880.12279073129
ENSG00000154645	CHODL	5392.50649082956	4657.86691358257	5100.21782955382	5618.53139134743	5042.95189190134	4267.51877366733
ENSG00000154646	TMPRSS15	1789.9702506823	2020.9543124951	2316.46896466077	1471.18498985438	1823.88233178699	2346.59235975453
ENSG00000154654	NCAM2	4530.40899721662	5922.79070102127	3956.7464446435	6542.81384824419	6638.59694008192	7699.66748015612
ENSG00000154719	MRPL39	998.963525933791	981.201790881456	1142.64489648495	1368.55497744283	754.487687369237	852.855547525284
ENSG00000154721	JAM2	4229.03391633195	4726.28669834422	3625.88876009305	45462.49053896	28547.6483598567	28351.9427806603
ENSG00000154723	ATP5PF	1813.56343629417	2320.32699376764	2056.53861658894	1974.67401678689	1715.17271102483	1917.38295716897
ENSG00000154727	GABPA	3499.89189652983	2272.57448371979	4356.48527881475	2854.48522915037	3760.81719413113	4975.1270690111
ENSG00000154734	ADAMTS1	5152.88987473948	3639.04641004616	3712.61117503105	3801.71104020215	3171.98315198296	3218.28455533058
ENSG00000154736	ADAMTS5	3229.40949914503	5372.1435077047	1639.44185384936	2349.02547151824	2237.30622180833	5376.92798182999
ENSG00000155304	HSPA13	1337.97309725716	883.531475125873	1183.67831575652	772.486260693127	1179.99638232888	1352.66656016196
ENSG00000155307	SAMSN1	5496.00385529457	5512.14814524845	5602.47331195979	7202.98883238519	4866.65091799444	5510.64882053626
ENSG00000155313	USP25	7736.99010356191	6371.80206315312	7464.83421279153	9793.64621400563	7945.99692433503	6628.56150313216
ENSG00000156239	N6AMT1	4296.48364034563	3780.22550285658	5010.37208359751	3195.20368673135	5066.7196489036	4814.76898888894
ENSG00000156253	RWDD2B	3897.08902167377	3168.43410013715	3295.91274351587	3635.63835553714	3871.39715500255	4773.46731219757
ENSG00000156256	USP16	5724.50138832985	4365.08172743341	4809.13479077447	6914.17352087478	5676.08021578666	4700.15905830107
ENSG00000156261	CCT8	5503.05459879058	4849.22518867396	5119.99131347316	6231.22560411263	4656.2484290924	4379.78216921681
ENSG00000156265	MAP3K7CL	7920.61361193588	8506.66247569414	7253.11865598668	7025.3346383625	9076.16996852918	7281.38404177482
ENSG00000156273	BACH1	7191.52582987137	6937.29972239886	4824.00053715065	6833.36176106397	5419.30555273713	5078.49736894357
ENSG00000156282	CLDN17	531.908620829097	318.344550091334	323.88897064625	687.875570140648	737.166175495053	708.517466148934
ENSG00000156284	CLDN8	1228.308575184	1225.90245547671	1247.22495594472	536.089782814108	957.508215208086	736.203879050202
ENSG00000156299	TIAM1	9343.24104236256	8159.24929866746	6673.07019700735	6866.65262020665	8301.15111288149	7810.35452987064
ENSG00000156304	SCAF4	5393.04920961604	4605.31350911768	6329.94122491322	6055.40449280483	6162.42057664327	5100.18270008319
ENSG00000157538	VPS26C	7119.33742543102	6185.53143066442	9723.09993717034	8109.13712217498	9187.62390685876	6497.13358463934
ENSG00000157540	DYRK1A	24637.9553195619	24217.1536683454	25368.9566816296	23799.4583648974	25290.4900041951	28421.526547454
ENSG00000157542	KCNJ6	8176.26753667348	5383.55913621444	6218.03616977888	7527.23945644503	7716.48528883279	9821.15185636247
ENSG00000157551	KCNJ15	13492.2629791441	12565.4852620304	13192.7814875839	11819.311993103	12271.2647928748	12750.6704350975
ENSG00000157554	ERG	13676.8575248956	16982.1180248987	15593.2676631882	15764.5309468772	19083.5038866045	16258.9653578238
ENSG00000157557	ETS2	3418.6309502858	2770.20813071261	3068.17282093082	2054.84575510568	4342.01189832819	3159.84912428854
ENSG00000157578	LCA5L	9230.87568336408	7562.60215433987	7770.10844783958	7692.96481442857	9213.01904487065	8187.15202503927
ENSG00000157601	MX1	9140.03072034948	8792.14177053883	7915.02964893948	6892.22319026817	9816.75707934234	8535.35375055592
ENSG00000157617	C2CD2	8497.25075163459	9529.22813816437	12507.2511535615	11159.614376561	8294.79041678123	8073.150944023
ENSG00000159055	MIS18A	557.077748184865	631.009284180672	862.801813160384	465.538561451284	833.02032213047	964.323493766104
ENSG00000159079	CFAP298	3837.26571033083	3753.13677100508	3206.33635044078	3639.62450276389	4953.68436417189	4020.18780230734
ENSG00000159082	SYNJ1	14774.5620886456	13883.3911805465	12185.3855867311	11338.2582337669	13204.2620516243	12919.6860050788
ENSG00000159086	PAXBP1	7622.15316932365	6621.91396131562	7352.73712626787	6516.419707302	6608.63042308711	5352.03506881758
ENSG00000159110	IFNAR2	4722.33563106148	7513.38324476099	4463.59025671243	5601.09491314761	6429.54974583596	5820.27548256471
ENSG00000159128	IFNGR2	2716.7826946059	2700.24502888872	2516.63155014001	2195.55621830835	3534.53842795029	2666.83538160075
ENSG00000159131	GART	8645.48467240193	8934.07879009497	8765.32918537282	9713.22448447597	9154.67467542444	8638.47979783429
ENSG00000159140	SON	18840.9177007621	19107.2376394857	17583.4001812972	16078.8932719096	16061.3475995281	15876.1066421245
ENSG00000159147	DONSON	7989.48829413994	6439.77516223082	6717.41711619057	6086.39638471489	5449.73248521587	6099.70649031845
ENSG00000159197	KCNE2	374.40880295265	279.789027221191	316.852523537082	605.250324771491	194.585975351021	374.053648486708
ENSG00000159200	RCAN1	10824.3660609765	10667.3302871278	10839.9884146544	8529.73285435373	10135.818103795	8847.17331429683
ENSG00000159212	CLIC6	2393.17898839729	2045.87620777129	2315.05841122258	2321.69068558346	1661.08721537302	1595.01459045186
ENSG00000159216	RUNX1	14498.3832863222	11438.9197546261	12736.9276331746	14422.7663903156	12207.352720916	12196.4549406826
ENSG00000159228	CBR1	1438.5036009638	1809.82979678757	1497.7350323889	1956.43514598646	2487.63259766191	1650.5862104435
ENSG00000159231	CBR3	277.34447823536	311.42430155726	529.08684621635	201.751051962726	541.548967111094	416.600997773393
ENSG00000159256	MORC3	6504.27901205396	6022.41369620651	6007.25542265539	4654.75312947345	6927.113649909	4981.17393034777
ENSG00000159259	CHAF1B	1986.31633015507	2013.79412144306	1761.53347686144	1695.95663364206	1756.26894490421	1550.89297222033
ENSG00000159261	CLDN14	2669.92886744076	2639.85651966045	2840.29699239197	3099.0438877958	3240.22577463587	3101.13858632637
ENSG00000159263	SIM2	2924.19385422381	4102.68681208712	4364.45724582754	3186.32980074198	6023.18689402306	3652.13399775933
ENSG00000159267	HLCS	8337.83391287004	6728.19133292259	9573.67837711332	5066.78175297068	9545.19891831961	6964.69928187075
ENSG00000160179	ABCG1	10120.9993314484	10729.2005757431	9170.92863878821	9032.37528979438	9922.66023836483	9643.5837205389
ENSG00000160180	TFF3	698.592970231386	884.007913763731	877.997837396555	633.406482514633	735.746212479897	1106.51917294571
ENSG00000160181	TFF2	532.950886386413	650.113201335952	783.199586458046	529.312944182557	487.217321739618	757.819804188352
ENSG00000160182	TFF1	163.396147175948	163.139512965716	132.797339001304	237.282897448477	101.919416987031	163.296374356263
ENSG00000160183	TMPRSS3	6268.6249826049	6875.23911556306	8792.2921815706	4950.94076322172	7873.93328919396	5853.21442663009
ENSG00000160185	UBASH3A	4865.96917685055	3850.57855790859	3678.66655395168	4185.48263038266	4685.50970693622	4493.64248202572
ENSG00000160188	RSPH1	1651.14551056836	2091.23334265097	2080.26370136263	2038.77028615238	1668.99180065835	1737.42026884915
ENSG00000160190	SLC37A1	5033.4576609405	4005.21511790929	4210.94249982125	3471.3766511252	4194.24145647986	4313.60921881674
ENSG00000160191	PDE9A	13561.9331241108	14324.3561073367	15413.4704219572	14228.3770425174	13949.8583452288	14810.7900038146
ENSG00000160193	WDR4	3852.87312899932	3784.82349687241	4731.74834482161	3274.89326001752	4171.0090384954	3518.37562189302
ENSG00000160194	NDUFV3	3294.31187030155	4155.02401159013	2152.97110959123	2061.02553694174	2747.2889593035	2027.3209650068
ENSG00000160199	PKNOX1	5485.68707293064	5588.33652456218	6969.28174919646	6074.42002524544	5939.64413415477	6247.06787968836
ENSG00000160200	CBS	6850.82202402316	8436.75756494329	8699.74307128538	7597.39805211309	7435.79640581661	7790.05984396977
ENSG00000160201	U2AF1	6713.8764599876	7451.9196419466	7748.99363109712	6265.42296616288	5646.71085131412	5750.2679949987
ENSG00000160202	CRYAA	1268.38368343008	1500.41987221986	1398.45055640149	1733.24409677911	1996.84851361266	1523.91776592288
ENSG00000160207	HSF2BP	711.86546758836	794.487912946703	792.315745592829	1272.79469974048	1308.81352308496	649.782589642673
ENSG00000160208	RRP1B	5045.85893049004	5771.65475624339	3061.64664123436	4205.33007983546	4207.03676166641	2879.50410464518
ENSG00000160209	PDXK	12862.0926350282	11317.688164118	12188.2454072235	12268.1926879858	15115.3057934582	11547.3917818921
ENSG00000160213	CSTB	3369.62673997852	3047.51712102054	3795.65515259441	2725.86289217866	3328.89603856814	3133.07764772321
ENSG00000160214	RRP1	3746.79026915507	4116.18782839115	3767.61084634039	4487.39817765334	4382.87627674477	3752.23451624288
ENSG00000160216	AGPAT3	11577.3306933689	13857.8253365882	12979.0169338051	11555.8144980642	11870.3151403767	11979.0397373232
ENSG00000160218	TRAPPC10	11220.3806275339	8790.94550437376	8926.51774288807	10505.5138727861	9567.35264185041	10819.3945397952
ENSG00000160221	GATD3A	5511.97241351067	5614.43961962359	4716.87137130562	5723.86918701007	4963.16612522903	4673.85380869742
ENSG00000160223	ICOSLG	6124.7047809148	6341.68590695647	4588.68935489119	5820.73571354639	6183.31646466384	5044.90094411718
ENSG00000160224	AIRE	3220.34530588334	3864.7603088694	3649.05462719043	6176.09240622282	3066.30316769293	4452.20339857534
ENSG00000160226	CFAP410	4253.96162904836	4536.30689766757	4037.02525549352	3508.94557788223	5494.0498004009	3445.75248716287
ENSG00000160233	LRRC3	1744.46381096768	2610.94243428399	1771.20951969037	1352.72869256447	1630.87236720646	1044.91283964862
ENSG00000160255	ITGB2	11320.3985170554	12307.9682574327	12680.1799166062	12942.9890904143	12008.1871993008	12239.7716215318
ENSG00000160256	FAM207A	1453.68044767377	894.804424616493	1377.9401352244	1369.83673522013	1280.20278970472	1473.01017726015
ENSG00000160282	FTCD	4555.98804385589	5833.64180177693	4176.90431811344	5483.30293532664	4492.21211853015	4020.48867233715
ENSG00000160284	SPATC1L	1076.83879253486	1625.33484662693	971.661576519243	1039.14991944026	1161.816339288	1204.50471358716
ENSG00000160285	LSS	7077.85620871385	7146.84579300298	8062.99606012238	9279.58639904232	10411.7292673015	5881.42754930716
ENSG00000160294	MCM3AP	9882.47674215944	7212.96247125823	6392.09718803699	9359.49892004727	7152.58291328166	12731.9529320294
ENSG00000160298	C21orf58	7140.00741035651	7102.23895904623	7134.61393486533	6271.46415478212	8019.25992313989	7400.55101699369
ENSG00000160299	PCNT	5958.29272182773	9135.08080034198	6937.63253840431	8889.65488747082	8023.42411589574	6449.01551132211
ENSG00000160305	DIP2A	14803.6125224569	13606.0896289488	13246.2287220925	11924.5245421293	16834.2399164164	14951.2775071902
ENSG00000160307	S100B	723.325845997618	937.503065961726	1004.80286489938	518.684960409141	1195.54571923612	1005.43091366521
ENSG00000160310	PRMT2	8452.47032527423	8987.73142143554	9340.15223415062	7714.20008252453	9893.10346402109	10405.6686670702
ENSG00000166265	CYYR1	1683.97945159904	954.35398391255	1207.81531339806	706.419804215073	1384.85504792028	1014.28087514463
ENSG00000166351	POTED	1649.61790407452	967.097325877095	1610.25239545331	1483.85531898969	1767.56814253827	1134.24934794707
ENSG00000166979	EVA1C	4931.06625546101	5850.19490607712	5015.9042983295	5425.53863541329	7299.08223268793	5858.36972811049
ENSG00000170262	MRAP	1196.19545634283	930.267916670087	1075.92758998008	776.027628083512	1633.69181534369	1098.05175859848
ENSG00000171189	GRIK1	7241.91111888415	8687.00966112745	10104.2211961972	6084.12834844546	8272.12770403714	6920.65014479701
ENSG00000171587	DSCAM	7242.06669336996	6554.51593554788	6099.66621482903	6026.09171361805	7502.80661458631	9962.92095141199
ENSG00000173276	ZBTB21	8401.87856983419	9551.34916623865	11354.348197716	9871.30782049232	10008.503976969	9883.21383134396
ENSG00000173638	SLC19A1	6571.96053520362	6588.48831975011	5598.89174540128	5896.27109225542	5568.6040557973	7263.76282684789
ENSG00000175894	TSPEAR	3444.99815741329	4187.34992456502	4840.21533124043	4072.3190364712	4440.86703461655	3574.00113934163
ENSG00000177398	UMODL1	9685.62561783491	10010.183290259	9372.89673351654	12370.2455722911	10942.3676128023	8073.13538221979
ENSG00000177692	DNAJC28	2521.19624887109	2547.67620599491	2834.0669060834	1654.4775218233	1996.70716355806	2497.43534720585
ENSG00000180509	KCNE1	8580.45199662072	7313.75819176861	8050.8502262302	6261.78487532019	6079.62528423263	6724.14547326537
ENSG00000180530	NRIP1	6760.77298380572	9756.06891225841	12638.9813919814	7663.62244817515	8511.23130635687	6901.40587759417
ENSG00000182093	WRB	9326.15634241184	10147.5993438462	11050.971513374	9907.76171817253	10872.704006114	9534.75492453881
ENSG00000182240	BACE2	6812.18156069661	7476.1589480964	5247.63730705549	7547.13634697726	4579.33801117809	5668.35666866267
ENSG00000182362	YBEY	2787.01888355134	2214.85758207582	2217.60929685305	2093.51019033649	1981.81503327138	2109.49670634711
ENSG00000182591	KRTAP11-1	271.389458241591	406.34023125213	551.234002603782	526.467684516418	253.268483426394	243.435135593194
ENSG00000182670	TTC3	24656.6969325554	21482.9735368784	31223.6335894602	23255.4337784461	31660.3529780619	24327.1241175368
ENSG00000182816	KRTAP13-2	257.519893023239	154.231889370775	313.843936857605	499.566269563803	535.362362381015	154.374442178261
ENSG00000182871	COL18A1	8112.25190443777	11124.8343675754	9458.44361885904	10267.4224061177	9676.94942956827	9551.90429825211
ENSG00000183036	PCP4	602.842593766606	957.050357017079	917.149986526997	1002.53930158012	1295.93190956324	870.024437009592
ENSG00000183067	IGSF5	1324.51931743502	1274.6673500634	1405.21846505715	1164.00686008954	1213.38892315828	1263.71497917518
ENSG00000183145	RIPPLY3	1916.16067400598	2213.55348305148	2387.04052347458	1770.24883601493	2489.33641282327	1604.14227433734
ENSG00000183255	PTTG1IP	3586.43451266084	3542.56108747727	3972.78413475515	3971.40310325249	3639.49199469291	4434.50912987898
ENSG00000183421	RIPK4	2117.5705972619	4702.52066702984	2507.36677710042	2394.49626149055	2812.55794504876	3285.97408530144
ENSG00000183486	MX2	8342.64713322324	7961.0967131836	6812.86595591678	7704.78824270746	6819.11178144747	7711.00994568454
ENSG00000183527	PSMG1	2133.09751264899	1804.3088744233	1753.9369728891	1160.3554454444	1859.82813541221	1948.12968320524
ENSG00000183570	PCBP3	7573.40714603603	7093.27084399375	6966.69666860409	7944.87535244044	6549.6132216642	8551.76682567619
ENSG00000183640	KRTAP8-1	247.571302961382	98.8722412554269	168.008051632659	320.860711936864	171.924874313803	148.450717294762
ENSG00000183778	B3GALT5	9868.30974832761	7006.19704191647	6013.40082524977	6083.391699698	7009.71282197061	5530.89386954894
ENSG00000183844	FAM3B	2095.41372915298	2573.30489359015	2582.58770347248	2936.12772048056	2850.56948888023	2498.10362183268
ENSG00000184012	TMPRSS2	4898.09831276293	6198.44527396453	6742.70744181064	5967.55555504425	4495.85992237045	3815.07162745077
ENSG00000184032	KRTAP20-2	227.664255955157	227.43889456127	173.093723289434	98.935617721061	177.049029713819	227.67798571754
ENSG00000184221	OLIG1	1408.26214870163	1860.93864327809	1350.06795300572	1522.14521806657	1180.7015635858	1497.70917549249
ENSG00000184351	KRTAP19-1	229.764146043794	191.807246023586	175.040316614702	372.744084698594	299.588738276776	229.594387434247
ENSG00000184724	KRTAP6-1	222.796786409288	148.31226383204	150.913790889618	86.4574452069719	231.630120706055	148.456873439466
ENSG00000184787	UBE2G2	6633.54241113881	5752.66274602547	4954.02778662999	4729.09512494964	7143.74829228372	5630.458929375
ENSG00000184900	SUMO3	3267.28363956519	2595.15789545288	3908.09239408702	2792.32139934378	2656.63315927648	2997.47718978893
ENSG00000185272	RBM11	3202.05407476751	2677.97878030312	3136.96968591577	2503.38934303344	3133.92014173548	3246.82439132899
ENSG00000185437	SH3BGR	1574.14011040147	1943.44686950014	2470.29851579115	1952.82664094667	2810.99126112842	2687.06156651926
ENSG00000185658	BRWD1	16704.5717099525	19200.8634660269	16718.6496800175	16296.1308177602	14998.1541296401	15772.0886058577
ENSG00000185808	PIGP	7785.13754383767	5948.57190943694	4884.58725438183	5664.04310927005	8005.49058866787	6202.10559710721
ENSG00000185917	SETD4	8483.57516311014	9069.29182488111	9382.71408560341	7326.34475055259	8434.36229649854	8940.37917921645
ENSG00000186866	POFUT2	7671.72986336804	8335.54626712085	7851.9585940439	7285.68579243259	8061.48524711943	6922.50928619954
ENSG00000186924	KRTAP22-1	79.0932434423163	70.1965217346466	89.6444851952574	101.743369110021	54.5491844569767	70.3779337105286
ENSG00000186925	KRTAP19-6	78.1602069518715	97.9105771055128	99.6726190586121	95.0736915784996	101.894244641276	78.2224908287135
ENSG00000186930	KRTAP6-2	110.764621763397	74.1956432193308	189.307483753544	180.494077052184	193.507036665052	74.2751858504873
