gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	9088.20629560728	9476.50617613597	7018.03800218242	8675.64406492956	8590.50867614765	6831.76670685692
ENSG00000141959	PFKL	5374.87736953788	4527.94207038579	4949.30665347181	5196.11123071392	4649.4791662854	4464.50260546036
ENSG00000142149	HUNK	2353.44080922209	1793.81177579789	1877.35467702755	1860.81637913661	1625.16748880187	2153.21220942583
ENSG00000142156	COL6A1	3840.56524988062	4777.5321605545	3852.05848208306	4822.58480132584	4919.73293453735	3539.45800079786
ENSG00000142166	IFNAR1	9594.29155839485	3403.16372727241	4780.21775205798	6961.40763732562	4593.39751028234	5827.8716622295
ENSG00000142168	SOD1	1915.82759649268	2243.59317691725	2902.53195904984	2174.26291485029	2203.67609503523	2069.19963105085
ENSG00000142173	COL6A2	5449.21167345232	4912.64031138834	6221.01700406145	4610.00061703559	5658.48509292157	5467.2218677364
ENSG00000142178	SIK1	6041.53996290585	11424.4249335556	7033.10447847737	4444.01572231093	9497.16953358454	11811.1442205606
ENSG00000142182	DNMT3L	2109.51628212525	2588.34849274465	1535.7330538409	2361.68398252463	1637.21166805174	1616.87752313685
ENSG00000142185	TRPM2	3554.14553403026	3192.87654047403	3553.69787926926	4261.2655331397	3498.81851997855	3322.85501458738
ENSG00000142188	TMEM50B	6792.58720871098	7283.84774969173	8314.21758313201	5905.21230615986	7203.35922287715	6185.53752030963
ENSG00000142192	APP	9138.2144909944	7529.84068225449	9300.36380590673	11216.0355868379	10059.249064396	8557.88408078421
ENSG00000142197	DOP1B	2266.66967971895	2869.46794485625	2907.49306827043	3105.24492262242	1898.768163264	2531.4571411977
ENSG00000142207	URB1	2010.52608391619	1773.7505882255	1800.88631825899	1345.45480339562	1387.71566490431	1833.44192250724
ENSG00000154639	CXADR	5628.53066066981	4268.33883327233	5594.24561031462	4046.31770647893	5299.26998992965	7623.38180824647
ENSG00000154640	BTG3	2629.26700361292	4828.25727437968	2938.26218288972	3465.15970039966	3138.83593723492	4450.41291089271
ENSG00000154642	C21orf91	3322.9142178293	3321.48485603212	2877.39245718086	2099.10151244777	3951.71741091302	3168.45256166293
ENSG00000154645	CHODL	3246.40412831931	2785.49896071921	3068.18243319284	3343.96116290288	3013.03034782461	2523.57352620734
ENSG00000154646	TMPRSS15	1568.45297360167	1759.08248423027	2028.30248795575	1274.44025809865	1586.0953085505	2019.72368380014
ENSG00000154654	NCAM2	3064.45136169555	3979.65777586541	2674.44758532807	4375.28546304791	4456.54604927515	5115.8276940122
ENSG00000154719	MRPL39	1409.6642944582	1375.39809972577	1611.23133988997	1909.21494057754	1056.63501961216	1182.14340498815
ENSG00000154721	JAM2	4124.64501653021	4578.98785423281	3533.7875293134	43835.4168360046	27632.6491755848	27161.6938569962
ENSG00000154723	ATP5PF	4546.26192914791	5777.96510390374	5151.56423814158	4893.77076028423	4267.13453941069	4721.27374537616
ENSG00000154727	GABPA	1276.03045024494	823.054424496651	1587.16912741682	1028.87050133245	1360.80346710085	1781.71896366962
ENSG00000154734	ADAMTS1	4332.44843311903	3039.30409578013	3119.19522447397	3160.00778818947	2646.79428670367	2657.88140793777
ENSG00000154736	ADAMTS5	418.33932779301	691.285107996943	212.217963416838	300.829075912164	287.632384485596	684.17690863658
ENSG00000155304	HSPA13	931.550417382572	611.061650733645	823.51824199091	531.711747093304	815.354429459156	925.07800342279
ENSG00000155307	SAMSN1	14476.1022186211	14422.1335678843	14745.6851723101	18756.157095422	12721.595528485	14257.2565591731
ENSG00000155313	USP25	5116.14379869404	4185.40026291137	4932.54909544797	6402.38255501919	5214.65846259085	4305.45057932858
ENSG00000156239	N6AMT1	1454.19361999839	1270.95683176611	1694.5703367245	1069.13889373316	1701.9340317023	1600.71179122475
ENSG00000156253	RWDD2B	3767.25223166405	3042.51740106884	3183.76223066053	3474.49392412909	3714.14516830575	4532.59527990821
ENSG00000156256	USP16	3171.92407297038	2402.60024557016	2662.76362809015	3787.49353560165	3121.33525531461	2558.15167190127
ENSG00000156261	CCT8	8240.2385557212	7212.94025952532	7661.00482167504	9224.35367656852	6919.56641358726	6441.94616599111
ENSG00000156265	MAP3K7CL	8886.63591411858	9480.73004926375	8131.74760457613	7792.41517254153	10106.2015532885	8024.55788689235
ENSG00000156273	BACH1	21415.570277326	20521.2153198774	14354.7784843232	20117.2920109929	16016.1826433728	14854.9928760322
ENSG00000156282	CLDN17	643.421157692918	382.524932987144	391.502929744627	822.611359006331	884.973943062458	841.855369785132
ENSG00000156284	CLDN8	770.710525712987	764.088636940519	782.004310727868	332.543026047253	596.256450843548	453.743612979204
ENSG00000156299	TIAM1	3787.10556679576	3285.21714604286	2702.81362840778	2751.57555949155	3339.29627781369	3109.6336205796
ENSG00000156304	SCAF4	2528.41594299023	2144.75336149274	2965.47565471225	2806.62121399204	2867.29414196934	2348.70508364223
ENSG00000157538	VPS26C	7794.38203921176	6727.02667030721	10637.2020789117	8776.94271211006	9982.79369968944	6987.02866292401
ENSG00000157540	DYRK1A	12133.5286550213	11847.032344644	12484.3407013099	11587.1342275921	12360.797057005	13748.5999220973
ENSG00000157542	KCNJ6	830.802985786547	543.396031992427	631.359540469103	756.145191657578	778.160645261189	980.243561077604
ENSG00000157551	KCNJ15	17823.6934942167	16489.071173897	17415.2545000351	15435.887770872	16088.2575715109	16545.2961604482
ENSG00000157554	ERG	6150.98505910444	7586.72293385998	7007.70855449829	7009.15897728118	8517.71770228096	7182.57007905553
ENSG00000157557	ETS2	2011.29013439218	1618.97045240209	1803.77710467201	1195.16602379039	2535.24706022569	1826.07018945029
ENSG00000157578	LCA5L	13854.213480982	11274.9401998115	11653.2376167102	11414.561362883	13722.9574772097	12069.8103175486
ENSG00000157601	MX1	14658.200885613	14006.5674155584	12684.2884114912	10927.4506620362	15624.5613455453	13445.6919204329
ENSG00000157617	C2CD2	3827.13486606815	4263.4097757126	5629.08428876545	4969.02323946116	3707.72508366483	3571.63460381659
ENSG00000159055	MIS18A	1428.87494117386	1607.74873814502	2211.41375217513	1180.4852811722	2120.51222381843	2429.57199536003
ENSG00000159079	CFAP298	4601.89013780933	4471.08354014126	3842.41262635492	4315.16554545329	5895.8914627664	4735.75615196224
ENSG00000159082	SYNJ1	6109.33861939376	5702.68207277119	5034.99918436776	4635.02874186786	5418.76715743468	5247.59313955796
ENSG00000159086	PAXBP1	6419.19561668334	5539.75415742622	6187.74669054312	5425.48409713378	5523.5867530074	4427.41779292905
ENSG00000159110	IFNAR2	4588.40321679748	7251.77443284701	4333.8072767813	5380.27116835863	6200.0053078418	5554.90815878828
ENSG00000159128	IFNGR2	2984.60172500505	2946.71869524165	2762.68690294546	2384.52869557245	3853.63845045751	2877.77151046434
ENSG00000159131	GART	10416.1012740842	10692.2633444537	10552.7251755323	11569.265357274	10946.2544604079	10223.0806639977
ENSG00000159140	SON	14147.3658000752	14251.9882374219	13193.4063673721	11935.9280080187	11969.1218159735	11709.7104128377
ENSG00000159147	DONSON	8482.13376552429	6791.42449688485	7126.38066999029	6388.11746039583	5742.06510101361	6360.97527021749
ENSG00000159197	KCNE2	533.188416949475	395.794133822882	450.891838051833	852.111043640612	275.012836870441	523.235458126507
ENSG00000159200	RCAN1	10288.7413700946	10072.0886927843	10296.014512176	8015.33571011184	9561.48533040512	8260.24505383788
ENSG00000159212	CLIC6	760.977271824795	646.219228187706	735.595402687426	729.839512003877	524.198429855229	498.184007391779
ENSG00000159216	RUNX1	19725.0240748742	15459.1993773451	17315.8252757298	19398.718552565	16482.6195300276	16298.9714029421
ENSG00000159228	CBR1	1979.8398085392	2474.34841430663	2059.84544561779	2662.01845957351	3397.91189261976	2231.44367194401
ENSG00000159231	CBR3	344.249720872885	383.981757380575	656.23831897973	247.569071966393	667.111734995304	507.928984055415
ENSG00000159256	MORC3	7661.89239464495	7047.11713785215	7071.20669648675	5420.75833089096	8098.33939850501	5763.64480837984
ENSG00000159259	CHAF1B	1449.58653029395	1459.87213882507	1284.59782193115	1223.59299630586	1272.01879732175	1111.74753892156
ENSG00000159261	CLDN14	2740.98893391002	2692.10462341425	2913.74736370569	3145.29819410474	3301.33532463413	3127.21242494098
ENSG00000159263	SIM2	1541.52063938627	2148.40210386579	2299.07943012277	1660.58234777249	3151.20239869352	1891.11746006112
ENSG00000159267	HLCS	4140.29084597638	3318.79145720245	4750.47451419644	2487.34665594273	4704.02227166374	3397.10207750118
ENSG00000160179	ABCG1	5148.7683085088	5421.89792511483	4662.01660121275	4542.64119334868	5009.73610567324	4818.89013736497
ENSG00000160180	TFF3	2762.45334986623	3472.40932860489	3469.3230078291	2476.16598351824	2887.39069186585	4297.91974879915
ENSG00000160181	TFF2	1623.48979156061	1967.23108423481	2384.05006451375	1594.04800356625	1472.96310532291	2267.55035862904
ENSG00000160182	TFF1	619.169884353246	614.088824663263	502.8493974103	888.91647922923	383.293733445429	607.817461032874
ENSG00000160183	TMPRSS3	3833.75650977005	4176.8036934381	5373.22340341377	2993.41186101415	4779.15090225915	3516.21391757051
ENSG00000160185	UBASH3A	5016.05321116106	3942.96379402079	3789.3415645762	4265.44977962621	4793.54047400688	4550.08924466521
ENSG00000160188	RSPH1	1241.33462980443	1561.74468857008	1562.79661804639	1515.2989639037	1245.27279874629	1283.03062804562
ENSG00000160190	SLC37A1	6795.82282800463	5371.62262808002	5681.13994843781	4633.44352404798	5619.99374305563	5720.64560175713
ENSG00000160191	PDE9A	13160.4981097628	13807.9707246059	14946.231699589	13649.998435563	13434.6792318616	14117.492637887
ENSG00000160193	WDR4	3964.18168175143	3868.28526063432	4864.86764595264	3331.13703679578	4259.0893227548	3555.8191278717
ENSG00000160194	NDUFV3	2062.92009311809	2584.61138178517	1347.21355993522	1275.93213494582	1707.37457941427	1247.0068046482
ENSG00000160199	PKNOX1	6048.60301814586	6120.83430045343	7678.78702838714	6621.4846747098	6499.66918545997	6765.95170967901
ENSG00000160200	CBS	8139.94865822736	9957.689265289	10329.1826174579	8924.22208112143	8768.25650238648	9091.76896949571
