gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	9153.276932	9561.054389	7006.211545	8644.230947	8209.866327	6879.067138
ENSG00000141959	PFKL	5413.360947	4568.339808	4940.966322	5177.296944	4443.462417	4495.413043
ENSG00000142149	HUNK	2370.291207	1809.815942	1874.19105	1854.078661	1553.156902	2168.120193
ENSG00000142156	COL6A1	3868.063308	4820.15671	3845.56718	4805.122994	4701.741338	3563.963798
ENSG00000142166	IFNAR1	9662.985714	3433.526332	4772.162361	6936.201495	4389.865719	5868.221524
ENSG00000142168	SOD1	1929.544728	2263.610237	2897.640753	2166.390257	2106.032	2083.525945
ENSG00000142173	COL6A2	5488.227477	4956.470279	6210.533648	4593.308543	5407.759654	5505.074734
ENSG00000142178	SIK1	6084.796777	11526.352236	7021.252632	4427.924653	9076.353368	11892.919878
ENSG00000142182	DNMT3L	2124.620205	2611.441417	1533.145111	2353.132703	1564.667408	1628.072139
ENSG00000142185	TRPM2	3579.592856	3221.362989	3547.70936	4245.836173	3343.78713	3345.861139
ENSG00000142188	TMEM50B	6841.221445	7348.833336	8300.206867	5883.830478	6884.180967	6228.363718
ENSG00000142192	APP	9203.643181	7597.020987	9284.691284	11175.424118	9613.527357	8617.135461
ENSG00000142197	DOP1B	2282.898805	2895.068982	2902.593502	3094.001328	1814.634429	2548.983942
ENSG00000142207	URB1	2024.921247	1789.575771	1797.851552	1340.583127	1326.226483	1846.135944
ENSG00000154639	CXADR	5668.83037	4306.420423	5584.818459	4031.666638	5064.461243	7676.163067
ENSG00000154640	BTG3	2648.092289	4871.334387	2933.310766	3452.612912	2999.755246	4481.225797
ENSG00000154642	C21orf91	3346.705947	3351.118732	2872.543615	2091.501002	3776.618234	3190.389665
ENSG00000154645	CHODL	3269.648053	2810.350837	3063.012081	3331.853215	2879.524057	2541.045744
ENSG00000154646	TMPRSS15	1579.682938	1774.7768	2024.884491	1269.825714	1515.815996	2033.707446
ENSG00000154654	NCAM2	3086.392523	4015.163789	2669.940736	4359.443255	4259.078097	5151.247647
ENSG00000154719	MRPL39	1419.757348	1387.669231	1608.516171	1902.301979	1009.815902	1190.328095
ENSG00000154721	JAM2	4154.177057	4619.841016	3527.832562	43676.695811	26408.256431	27349.750605
ENSG00000154723	ATP5PF	4578.812704	5829.515392	5142.883072	4876.0512	4078.059343	4753.961964
ENSG00000154727	GABPA	1285.166699	830.397614	1584.494507	1025.145126	1300.506755	1794.054876
ENSG00000154734	ADAMTS1	4363.468325	3066.42039	3113.938908	3148.565906	2529.515784	2676.28352
ENSG00000154736	ADAMTS5	421.334595	697.452668	211.860344	299.739822	274.887497	688.913877
ENSG00000155304	HSPA13	938.220224	616.513467	822.130489	529.786504	779.226368	931.482875
ENSG00000155307	SAMSN1	14579.749644	14550.806055	14720.836459	18688.244054	12157.906207	14355.968124
ENSG00000155313	USP25	5152.77487	4222.741885	4924.237003	6379.200553	4983.598822	4335.259804
ENSG00000156239	N6AMT1	1464.605499	1282.296151	1691.714729	1065.267713	1626.521947	1611.794482
ENSG00000156253	RWDD2B	3794.225376	3069.662364	3178.397109	3461.913338	3549.572732	4563.977164
ENSG00000156256	USP16	3194.634728	2424.035947	2658.276468	3773.779628	2983.030013	2575.863295
ENSG00000156261	CCT8	8299.237829	7277.293218	7648.094868	9190.953769	6612.962915	6486.547635
ENSG00000156265	MAP3K7CL	8950.263327	9565.315947	8118.044378	7764.200085	9658.399398	8080.116729
ENSG00000156273	BACH1	21568.903591	20704.303058	14330.588508	20044.450518	15306.511352	14957.842929
ENSG00000156282	CLDN17	648.027988	385.937773	390.843188	819.632815	845.761066	847.684041
ENSG00000156284	CLDN8	776.228735	770.905741	780.686515	331.338941	569.836542	456.885153
ENSG00000156299	TIAM1	3814.220859	3314.527446	2698.258978	2741.612545	3191.333261	3131.163485
ENSG00000156304	SCAF4	2546.519145	2163.888585	2960.478379	2796.458888	2740.24537	2364.966582
ENSG00000157538	VPS26C	7850.189025	6787.044368	10619.276782	8745.162808	9540.459702	7035.404066
ENSG00000157540	DYRK1A	12220.403491	11952.730098	12463.302696	11545.17907	11813.094586	13843.789751
ENSG00000157542	KCNJ6	836.751451	548.244144	630.295604	753.407311	743.680627	987.030377
ENSG00000157551	KCNJ15	17951.309334	16636.184622	17385.907158	15379.996893	15375.392666	16659.8492
ENSG00000157554	ERG	6195.025489	7654.410735	6995.899504	6983.779935	8140.300695	7232.299333
ENSG00000157557	ETS2	2025.690768	1633.414706	1800.737467	1190.838519	2422.911175	1838.713172
ENSG00000157578	LCA5L	13953.408246	11375.533818	11633.600146	11373.231064	13114.898168	12153.376876
ENSG00000157601	MX1	14763.152119	14131.532273	12662.913464	10887.884113	14932.242653	13538.784535
ENSG00000157617	C2CD2	3854.536764	4301.447389	5619.598429	4951.031202	3543.437119	3596.363179
ENSG00000159055	MIS18A	1439.105541	1622.092873	2207.687185	1176.210933	2026.55309	2446.393384
ENSG00000159079	CFAP298	4634.839205	4510.973993	3835.937579	4299.541022	5634.646633	4768.544641
ENSG00000159082	SYNJ1	6153.080865	5753.560695	5026.514448	4618.246045	5178.663534	5283.925384
ENSG00000159086	PAXBP1	6465.156407	5589.179157	6177.3194	5405.839288	5278.838611	4458.07147
ENSG00000159110	IFNAR2	4621.255719	7316.473865	4326.504155	5360.790068	5925.285303	5593.36813
ENSG00000159128	IFNGR2	3005.971171	2973.008954	2758.031357	2375.894699	3682.885117	2897.696054
ENSG00000159131	GART	10490.679504	10787.658392	10534.942235	11527.3749	10461.229863	10293.861202
ENSG00000159140	SON	14248.659506	14379.142709	13171.173479	11892.709924	11438.774334	11790.783783
ENSG00000159147	DONSON	8542.864984	6852.016744	7114.371639	6364.98711	5487.636262	6405.016129
ENSG00000159197	KCNE2	537.005992	399.32536	450.132017	849.025686	262.827117	526.858132
ENSG00000159200	RCAN1	10362.407716	10161.950619	10278.664168	7986.313463	9137.819355	8317.4357
ENSG00000159212	CLIC6	766.425792	651.984716	734.355813	727.19688	500.971386	501.633235
ENSG00000159216	RUNX1	19866.253249	15597.124437	17286.645487	19328.478899	15752.280588	16411.818988
ENSG00000159228	CBR1	1994.015261	2496.424244	2056.374294	2652.379717	3247.351639	2246.893299
ENSG00000159231	CBR3	346.714514	387.407595	655.132458	246.672664	637.552254	511.445682
ENSG00000159256	MORC3	7716.750768	7109.990643	7059.290642	5401.130633	7739.504893	5803.549989
ENSG00000159259	CHAF1B	1459.965423	1472.896937	1282.43308	1219.162562	1215.656102	1119.444836
ENSG00000159261	CLDN14	2760.614137	2716.123247	2908.837258	3133.909573	3155.054344	3148.863998
ENSG00000159263	SIM2	1552.557771	2167.569881	2295.205133	1654.569645	3011.573754	1904.210804
ENSG00000159267	HLCS	4169.934909	3348.401303	4742.469245	2478.340372	4495.588737	3420.622259
ENSG00000160179	ABCG1	5185.632968	5470.271426	4654.160397	4526.193017	4787.756501	4852.254213
ENSG00000160180	TFF3	2782.232236	3503.389734	3463.476673	2467.200183	2759.451449	4327.676833
ENSG00000160181	TFF2	1635.113814	1984.782476	2380.032579	1588.276211	1407.69664	2283.249974
ENSG00000160182	TFF1	623.603078	619.567649	502.00202	885.697855	366.310126	612.025747
ENSG00000160183	TMPRSS3	3861.205818	4214.068618	5364.168708	2982.573196	4567.388445	3540.558782
ENSG00000160185	UBASH3A	5051.967644	3978.142428	3782.95595	4250.005269	4581.14042	4581.59225
ENSG00000160188	RSPH1	1250.22246	1575.678381	1560.163069	1509.812309	1190.095209	1291.913821
ENSG00000160190	SLC37A1	6844.480231	5419.547579	5671.566367	4616.666567	5370.973842	5760.253073
ENSG00000160191	PDE9A	13254.725943	13931.163727	14921.045035	13600.573977	12839.393428	14215.236533
ENSG00000160193	WDR4	3992.564821	3902.797622	4856.669607	3319.075523	4070.370607	3580.438203
ENSG00000160194	NDUFV3	2077.690392	2607.670964	1344.943301	1271.312189	1631.721426	1255.640583
ENSG00000160199	PKNOX1	6091.910403	6175.443625	7665.847109	6597.509339	6211.671182	6812.796464
ENSG00000160200	CBS	8198.229866	10046.530534	10311.77638	8891.908902	8379.738211	9154.716756
ENSG00000160201	U2AF1	5226.662623	5772.745588	5975.112403	4770.393827	4139.732002	4396.083367
ENSG00000160202	CRYAA	2218.907875	2611.948234	2423.178431	2965.521468	3289.722759	2618.043565
ENSG00000160207	HSF2BP	718.136167	797.552537	791.693016	1255.798469	1243.403834	643.729862
ENSG00000160208	RRP1B	1257.689162	1431.534081	755.862732	1025.15851	987.506757	704.827155
ENSG00000160209	PDXK	11268.755718	9867.001359	10576.8215	10512.297368	12471.159226	9935.1618
ENSG00000160213	CSTB	1720.925045	1548.778982	1920.067786	1361.560314	1601.053877	1571.368451
ENSG00000160214	RRP1	3436.361945	3756.624914	3422.592619	4025.194237	3785.509005	3379.529202
ENSG00000160216	AGPAT3	9832.734001	11711.811349	10918.35736	9598.848371	9494.096817	9991.129075
ENSG00000160218	TRAPPC10	8309.693107	6478.524656	6548.006793	7609.347424	6672.594483	7868.773875
ENSG00000160221	GATD3A	8368.225084	8481.953093	7093.000732	8499.017732	7095.952258	6968.321088
ENSG00000160223	ICOSLG	2503.530695	2579.500533	1857.83043	2327.010587	2380.20734	2025.102995
ENSG00000160224	AIRE	1731.014287	2067.206718	1942.8006	3246.868601	1552.16847	2350.173469
ENSG00000160226	CFAP410	3901.600716	4140.137983	3667.417678	3147.593243	4745.340723	3103.559275
ENSG00000160233	LRRC3	356.684835	531.230633	358.708999	270.511729	314.027882	209.811582
ENSG00000160255	ITGB2	13466.171107	14569.072795	14940.236837	15058.084002	13451.955361	14298.235283
ENSG00000160256	FAM207A	3574.390874	2189.396147	3355.931574	3294.235324	2964.404186	3556.850021
ENSG00000160282	FTCD	8359.508842	10651.26225	7591.058989	9839.955705	7762.18512	7244.421998
ENSG00000160284	SPATC1L	860.243206	1292.041724	768.838711	811.898025	874.0446	944.943354
ENSG00000160285	LSS	8537.417282	8578.321484	9633.206604	10947.277092	11826.961835	6966.814339
ENSG00000160294	MCM3AP	15979.599365	11605.848346	10237.481004	14801.488836	10891.521214	20217.23793
ENSG00000160298	C21orf58	4911.494968	4861.53542	4861.106907	4219.264028	5194.87242	4999.260988
ENSG00000160299	PCNT	3122.201725	4763.373649	3600.808876	4555.926852	3959.354868	3318.633228
ENSG00000160305	DIP2A	5416.135038	4953.569211	4800.248031	4266.930452	5800.171596	5371.886019
ENSG00000160307	S100B	1279.596649	1650.345754	1760.636207	897.419462	1991.731786	1746.69894
ENSG00000160310	PRMT2	7813.711627	8267.742527	8552.189843	6974.568452	8612.551474	9446.489139
ENSG00000166265	CYYR1	1237.740086	698.015863	879.311704	507.818189	958.567151	732.112155
ENSG00000166351	POTED	1141.014603	665.642674	1103.192876	1003.811384	1151.355823	770.447573
ENSG00000166979	EVA1C	6256.4781	7386.225445	6303.590411	6732.628776	8721.333669	7299.491041
