tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	304.753	150.417	148.694	209.606	175.489	237.647
ENST00000612610	ENSG00000277117	167.947	623.808	440.775	905.746	308.827	591.707
ENST00000620481	ENSG00000277117	353.172	170.606	234.589	415.481	190.21	32.962
ENST00000623960	ENSG00000277117	1231.075	1582.647	736.762	1466.938	764.188	1897.04
ENST00000623903	ENSG00000277117	235.061	411.3	413.389	538.09	234.243	157.019
ENST00000623795	ENSG00000277117	591.615	1370.824	445.807	725.235	414.994	1050.292
ENST00000624810	ENSG00000280071	185.202	93.785	101.346	84.588	165.658	108.107
ENST00000625036	ENSG00000280071	210.023	153.737	150.479	95.973	61.385	86.117
ENST00000620015	ENSG00000280071	502.948	346.215	339.502	524.484	809.837	713.902
ENST00000620528	ENSG00000280071	1040.932	823.728	453.381	1127.399	179.264	666.992
ENST00000624120	ENSG00000280071	203.549	208.443	225.304	231.648	284.853	253.967
ENST00000624748	ENSG00000280071	319.545	115.214	255.676	411.734	189.985	394.051
ENST00000624648	ENSG00000280071	311.75	195.89	216.596	112.716	211.902	198.409
ENST00000623810	ENSG00000280071	429.496	167.866	321.106	495.972	184.482	154.956
ENST00000624714	ENSG00000280071	280.681	226.399	202.308	146.526	234.466	240.612
ENST00000623390	ENSG00000280071	262.218	205.384	123.914	121.523	169.729	109.366
ENST00000622915	ENSG00000280071	412.775	582.432	416.301	328.369	237.638	353.962
ENST00000623476	ENSG00000276612	471.824	684.262	788.061	220.416	483.307	652.433
ENST00000617716	ENSG00000275464	931.819	726.997	1228.599	969.901	1481.138	2045.156
ENST00000632537	ENSG00000275464	407.31	159.833	416.621	109.811	180.961	227.762
ENST00000623011	ENSG00000275464	1422.643	2811.496	1145.566	2834.511	1222.886	1308.15
ENST00000624312	ENSG00000275464	142.018	334.908	158.062	101.914	187.368	196.915
ENST00000633442	ENSG00000275464	124.004	137.694	310.542	184.791	231.925	308.905
ENST00000633593	ENSG00000275464	76.002	254.98	100.268	127.841	254.561	127.574
ENST00000634020	ENSG00000275464	193.778	99.57	331.338	241.899	170.555	135.508
ENST00000634021	ENSG00000275464	97.833	169.448	87.039	164.62	97.581	332.12
ENST00000623998	ENSG00000280433	941.764	1036.66	1099.396	1253.201	1162.272	1692.561
ENST00000623744	ENSG00000280433	1669.9	701.111	1709.322	1628.44	1503.316	1245.101
ENST00000464664	ENSG00000274559	317	345	483	275	275	345
ENST00000613488	ENSG00000275993	1265.033	1426.61	815.168	1123.893	843.799	1035.435
ENST00000624077	ENSG00000275993	307.308	275.805	359.336	451.706	381.118	261.167
ENST00000624691	ENSG00000274276	957.728	1523.255	1122.603	511.68	739.083	1756.345
ENST00000624406	ENSG00000274276	890.878	520.548	826.721	574.022	1042.369	693.579
ENST00000398168	ENSG00000274276	1014.758	811.01	714.361	968.666	1685.069	704.191
ENST00000618024	ENSG00000274276	1156.807	633.854	929.595	880.456	648.741	777.358
ENST00000617706	ENSG00000274276	798.441	635.873	1127.99	873.879	588.287	571.57
ENST00000624934	ENSG00000274276	664.851	600.598	328.155	490.909	595.909	1301.123
ENST00000622914	ENSG00000274276	314.537	173.663	179.266	217.876	435.887	333.671
ENST00000624808	ENSG00000274276	223.308	175.522	194.56	102.433	327.806	227.351
ENST00000623939	ENSG00000274276	125.37	117.378	116.213	151.803	153.091	159.598
ENST00000624921	ENSG00000274276	240.443	251.337	310.359	345.638	126.434	190.284
ENST00000637320	ENSG00000275895	783.72	533.31	785.583	1013.667	578.035	785.312
ENST00000623375	ENSG00000275895	418.847	569.739	592.653	413.412	1080.986	428.988
ENST00000610664	ENSG00000275895	176.452	201.221	148.35	341.459	290.954	325.862
ENST00000639996	ENSG00000275895	144.901	328.502	167.758	597.217	357.631	386.617
ENST00000620065	ENSG00000275895	439.981	291.668	285.739	406.713	186.848	400.436
ENST00000636923	ENSG00000275895	726.158	1462.855	947.285	1051.845	1039.035	547.597
ENST00000624739	ENSG00000275895	2014.965	1271.932	1663.521	731.685	801.449	1126.168
ENST00000619610	ENSG00000275895	140.503	159.39	215.734	272.037	325.82	159.63
ENST00000636315	ENSG00000275895	271.857	310.824	320.435	74.63	470.986	215.546
ENST00000637031	ENSG00000275895	122.904	355.789	123.305	231.812	300.657	186.54
ENST00000636177	ENSG00000275895	1802.255	1012.253	1396.888	1170.876	1756.14	1847.489
ENST00000636403	ENSG00000275895	257.91	169.616	133.089	279.563	280.238	180.324
ENST00000619537	ENSG00000276076	501.865	190.312	697.614	131.833	139.104	376.797
ENST00000624019	ENSG00000276076	340.597	184.895	133.092	111.016	143.16	277.828
ENST00000624901	ENSG00000276076	310.201	313.94	307.873	152.854	439.935	198.18
ENST00000624932	ENSG00000276076	456.761	421.818	279.832	366.496	176.865	79.14
ENST00000624534	ENSG00000273590	172	154	172	103	137	172
ENST00000622934	ENSG00000273590	261.217	188.231	313.108	778.706	562.598	360.987
ENST00000619874	ENSG00000273590	245.294	199.488	254.824	344.284	286.618	205.767
ENST00000612624	ENSG00000273590	354.859	221.195	384.298	286.771	376.157	263.33
ENST00000624304	ENSG00000273590	497.292	1061.091	569.97	1024.817	605.155	744.093
ENST00000624758	ENSG00000273590	420.878	979.833	365.951	713.921	983.528	597.618
ENST00000623661	ENSG00000273590	276.081	397.51	554.289	262.45	197.919	341.957
ENST00000613894	ENSG00000277277	541.085	647.018	279.808	320.689	279.335	301.426
ENST00000646133	ENSG00000278961	407.443	519.231	460.187	636.752	872.447	639.347
ENST00000643357	ENSG00000278961	328.047	629.003	772.94	375.867	404.008	258.797
ENST00000624951	ENSG00000278961	591.51	522.766	839.873	607.381	634.546	378.856
ENST00000622690	ENSG00000276289	620.261	909.508	2029.628	676.998	1878.21	784.733
ENST00000618699	ENSG00000276289	1343.623	631.221	1851.605	744.901	1483.86	1247.322
ENST00000623803	ENSG00000276289	270.64	268.814	131.372	356.051	297.336	204.435
ENST00000617668	ENSG00000276289	285.915	164.867	202.676	147.39	183.144	144.801
ENST00000622113	ENSG00000274391	1505.992	698.16	657.303	1509.165	1531.486	421.343
ENST00000612957	ENSG00000274391	473.891	228.612	183.783	208.372	175.163	190.253
ENST00000618007	ENSG00000274391	542.47	571.691	649.48	973.972	1301.314	634.356
ENST00000427445	ENSG00000274391	694.87	419.261	822.295	360.861	801.919	744.02
ENST00000612746	ENSG00000274391	916.778	905.276	600.139	1133.63	616.119	263.029
ENST00000620442	ENSG00000166351	556.613	491.765	1190.843	917.576	1191.464	487.027
ENST00000299443	ENSG00000166351	1075.387	482.235	439.157	633.424	548.536	645.973
ENST00000344577	ENSG00000188992	246.504	316.405	453.959	397.419	437.552	389.983
ENST00000536861	ENSG00000188992	985.429	583.35	673.836	859.899	418.27	227.062
ENST00000614229	ENSG00000188992	335.939	751.2	343.155	716.215	453.757	945.917
ENST00000400211	ENSG00000188992	181.128	82.045	83.05	63.467	273.421	85.038
ENST00000468643	ENSG00000185272	305.05	656.161	1163.005	752.138	1074.952	1168.71
ENST00000468788	ENSG00000185272	484.244	185.877	365.668	422.211	214.271	301.385
ENST00000495055	ENSG00000185272	651.831	554.06	258.13	435.346	424.646	951.692
ENST00000461088	ENSG00000185272	243.737	200.379	190.555	159.162	389.612	237.224
ENST00000400577	ENSG00000185272	1214.334	375.949	606.75	830.92	591.194	1130.918
ENST00000475864	ENSG00000185272	194.803	441.575	379.892	108.222	257.325	122.07
ENST00000285667	ENSG00000155304	1195.294	960.279	951.483	717.46	714.957	1191.279
ENST00000478035	ENSG00000155304	186.706	106.721	171.517	110.54	188.043	190.721
ENST00000400564	ENSG00000155307	490.922	403.028	606.478	433.67	668.332	335.567
ENST00000400566	ENSG00000155307	1163.907	317.275	894.861	587.225	590.818	1150.192
ENST00000644288	ENSG00000155307	624.314	836.879	932.252	986.301	478.042	806.303
ENST00000647101	ENSG00000155307	915.211	586.665	639.029	728.025	674.392	515.913
ENST00000619120	ENSG00000155307	680.13	1289.039	914.506	430.988	681.907	629.518
ENST00000285670	ENSG00000155307	639.666	882.634	955.09	1004.998	468.555	796.343
ENST00000463807	ENSG00000155307	252.517	223.961	560.845	420.782	337.335	221.957
ENST00000493640	ENSG00000155307	98.841	164.243	80.983	79.021	67.779	82.935
ENST00000435732	ENSG00000155307	350.365	364.259	343.889	274.782	206.995	698.548
ENST00000400562	ENSG00000155307	291.127	219.016	488.066	307.208	494.845	180.724
ENST00000469393	ENSG00000155307	59	52	59	132	59	66
ENST00000467280	ENSG00000155307	270	108	162	81	81	270
ENST00000318948	ENSG00000180530	4375.814	4451.515	2591.695	1836.051	2846.227	2496.839
ENST00000400199	ENSG00000180530	1331.123	3372.471	1917.342	1736.084	4105.675	1990.434
ENST00000400202	ENSG00000180530	2489.816	1473.509	1430.855	3045.444	1910.701	2338.753
ENST00000411932	ENSG00000180530	132.006	182.74	304.495	265.629	221.616	202.951
ENST00000638122	ENSG00000180530	93.24	204.093	320.864	187.491	136.259	124.023
ENST00000637963	ENSG00000180530	117.894	223.205	299.092	120.59	148.594	88.604
ENST00000637630	ENSG00000180530	138.106	171.468	342.657	151.711	137.928	172.396
ENST00000285679	ENSG00000155313	924.268	1889.594	1140.486	1091.594	953.726	818.04
ENST00000351097	ENSG00000155313	1059.317	337.577	369.875	557.81	1239.451	528.284
ENST00000285681	ENSG00000155313	1998.167	2138.028	2174.387	3097.19	2216.666	3367.923
ENST00000400183	ENSG00000155313	823.892	659.997	2011.209	1588.926	1834.842	900.387
ENST00000547201	ENSG00000155313	336.245	183.611	164.41	446.402	226.369	174.666
ENST00000549362	ENSG00000155313	131.163	122.057	241.346	195.26	272.109	155.954
ENST00000464435	ENSG00000155313	380.513	227.656	380.394	508.524	152.468	202.412
ENST00000453553	ENSG00000155313	187.76	265.493	201.755	373.167	191.503	112.802
ENST00000449491	ENSG00000155313	208.749	203.495	159.422	384.638	187.372	305.087
ENST00000478932	ENSG00000155313	1157.927	477.493	950.716	449.488	789.493	937.443
ENST00000284878	ENSG00000154639	1874.151	1111.813	1522.098	1671.92	2224.113	1676.443
ENST00000400166	ENSG00000154639	390.227	296.637	263.748	299.02	229.483	252.286
ENST00000356275	ENSG00000154639	97	72.974	96.359	72	71.622	161.999
ENST00000400165	ENSG00000154639	113.868	162.656	165.707	137.86	240.084	168.148
ENST00000400169	ENSG00000154639	644.754	352.919	621.089	274.2	901.698	272.124
ENST00000339775	ENSG00000154640	426.348	270.962	352.925	658.177	352.617	911.272
ENST00000348354	ENSG00000154640	501.032	263.117	390.637	448.176	465.165	636.428
ENST00000471860	ENSG00000154640	173.609	318.956	132.211	121.501	178.039	116.408
ENST00000496601	ENSG00000154640	67.224	225.899	65.899	102.087	67.019	103.648
ENST00000464058	ENSG00000154640	93.511	236.908	193.356	100.385	116.613	326.732
ENST00000457956	ENSG00000154640	88.276	152.159	121.972	229.675	183.547	137.512
ENST00000284881	ENSG00000154642	2482.976	1985.866	1470.537	1443.513	1450.001	3251.908
ENST00000400559	ENSG00000154642	541.751	652.813	413.128	413.222	1037.807	982.654
ENST00000400558	ENSG00000154642	379.664	289.149	325.481	188.216	246.784	458.472
ENST00000405964	ENSG00000154642	216.825	430.931	563.114	239.039	274.794	255.624
ENST00000493464	ENSG00000154642	270.784	345.241	182.74	136.01	442.614	132.342
ENST00000482915	ENSG00000154642	300	160	120	200	300	120
ENST00000400128	ENSG00000154645	898.843	832.878	384.472	971.651	687.533	675.312
ENST00000400131	ENSG00000154645	790.521	434.615	917.834	532.285	326.422	1036.954
ENST00000400135	ENSG00000154645	644.078	405.391	895.986	1174.847	926.381	669.313
ENST00000400127	ENSG00000154645	1280.907	611.962	632.228	747.614	748.932	396.913
ENST00000299295	ENSG00000154645	627.668	1157.417	565.57	807.412	1608.374	673.778
ENST00000543733	ENSG00000154645	692.937	435.209	440.618	443.28	397.209	430.7
ENST00000338326	ENSG00000154645	445.047	895.528	1083.292	1156.912	399.148	390.03
ENST00000284885	ENSG00000154646	2369.076	1065.169	1404.875	1183.592	1777.022	1776.565
ENST00000422787	ENSG00000154646	181.775	133.237	281.313	224.36	130.432	271.278
ENST00000474775	ENSG00000154646	78.148	205.593	167.813	83.048	125.546	162.157
ENST00000400546	ENSG00000154654	2130.529	4786.082	2444.692	4709.97	3759.504	4870.047
ENST00000486367	ENSG00000154654	190.001	211.015	126.852	110.686	199.03	215.557
ENST00000284894	ENSG00000154654	881.89	1501.237	1134.917	1863.978	2001.988	2825.417
ENST00000461281	ENSG00000154654	226.122	349.772	157.458	129.113	199.494	135.441
ENST00000484983	ENSG00000154654	89.459	82.894	82.08	207.254	152.985	207.538
ENST00000352957	ENSG00000154719	378.291	274.6	299.129	483.216	226.142	307.874
ENST00000307301	ENSG00000154719	341.67	374.215	560.269	573.034	271.394	224.72
ENST00000419219	ENSG00000154719	291.039	334.185	303.602	387.75	232.464	306.406
ENST00000400532	ENSG00000154721	511.514	657.542	460.421	8329.72	5280.454	4286.969
ENST00000480456	ENSG00000154721	1399.415	1408.855	1173.235	6625.77	9574.481	5105.05
ENST00000312957	ENSG00000154721	1810.495	873.693	1036.102	4743.006	26325.041	6132.891
ENST00000460679	ENSG00000154721	181.931	626.943	353.262	8645.128	1088.475	3835.501
ENST00000492962	ENSG00000154721	255.844	227.306	283.712	4259.451	907.466	2273.954
ENST00000477351	ENSG00000154721	86.85	92.139	56.153	564.905	449.356	505.613
ENST00000471689	ENSG00000154721	181.951	164.522	164.115	2062.021	437.727	879.022
ENST00000400099	ENSG00000154723	125.096	297.345	149.177	292.816	98.037	131.156
ENST00000400094	ENSG00000154723	150.28	200.638	377.586	105.53	202.846	295.042
ENST00000284971	ENSG00000154723	196.081	335.725	157.314	152.022	122.264	121.051
ENST00000457143	ENSG00000154723	180.553	96.412	124.063	120.123	175.946	171.548
ENST00000400090	ENSG00000154723	265.266	250.525	293.274	269.195	216.954	287.311
ENST00000400087	ENSG00000154723	339.661	150.879	160.975	216.993	161.523	369.897
ENST00000400093	ENSG00000154723	287.815	554.35	402.462	696.836	528.516	363.533
ENST00000486002	ENSG00000154723	266.248	401.126	321.149	262.484	254.913	156.462
ENST00000354828	ENSG00000154727	2129.236	947.541	3047.794	1500.78	1323.07	1207.858
ENST00000400075	ENSG00000154727	1900.689	837.433	1471.028	899.712	2955.344	2187.992
ENST00000487266	ENSG00000154727	146.075	189.025	231.178	235.507	131.586	466.15
ENST00000346798	ENSG00000142192	1175.931	551.527	920.484	796.888	1245.193	791.454
ENST00000354192	ENSG00000142192	847.848	1131.235	2226.122	1897.369	1388.761	583.241
ENST00000348990	ENSG00000142192	846.945	756.213	1549.4	1447.866	820.523	1299.504
ENST00000357903	ENSG00000142192	1021.415	1026.371	1687.323	898.862	1054.972	1943.403
ENST00000359726	ENSG00000142192	1574.152	1854.791	683.862	1060.708	1283.324	723.606
ENST00000440126	ENSG00000142192	523.362	503.691	1691.654	1075.839	488.568	1629.678
ENST00000439274	ENSG00000142192	300.853	1191.76	1333.539	789.553	458.606	672.105
ENST00000464867	ENSG00000142192	212.388	151.078	239.524	204.181	493.697	145.236
ENST00000358918	ENSG00000142192	430.718	638.125	685.874	1457.642	683.488	1014.572
ENST00000448850	ENSG00000142192	858.673	808.442	789.319	442.415	549.475	455.865
ENST00000415997	ENSG00000142192	165.08	90.996	104.037	320.645	133.388	198.754
ENST00000491395	ENSG00000142192	351.967	112.259	114.071	162.08	145.66	105.221
ENST00000474136	ENSG00000142192	587.395	348.955	335.419	592.32	329.294	504.033
ENST00000463070	ENSG00000142192	95.711	97.433	164.336	144.517	175.161	157.042
ENST00000548570	ENSG00000142192	86	86	64	216	216	129
ENST00000462267	ENSG00000142192	152.562	112.125	191.036	283.114	188.891	181.285
ENST00000466453	ENSG00000142192	168	112	100	134	89	67
ENST00000299340	ENSG00000166265	1106.721	550.046	1391.053	556.511	1390.112	837.415
ENST00000400043	ENSG00000166265	339.279	205.954	135.947	133.489	180.888	175.585
ENST00000284984	ENSG00000154734	1285.614	1267.994	1880.147	1854.548	1868.994	1455.177
ENST00000464589	ENSG00000154734	1250.412	1130.685	1717.12	1121.849	1387.986	797.734
ENST00000492656	ENSG00000154734	514.942	294.737	488.408	525.502	369.013	212.972
ENST00000517777	ENSG00000154734	168.792	191.149	172.628	200.646	152.454	217.383
ENST00000451462	ENSG00000154734	343.805	244.701	90.107	257.858	108.457	114.418
