tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	1318.110851	646.4151	647.208225	860.178284	743.119896	1008.864955
ENST00000612610	ENSG00000277117	209.558767	773.088853	553.19882	1072.083118	377.195009	724.344049
ENST00000620481	ENSG00000277117	709.999942	340.683816	474.419374	792.379086	374.319486	65.01857
ENST00000623960	ENSG00000277117	463.316463	591.528968	278.862587	523.682645	281.504773	700.35882
ENST00000623903	ENSG00000277117	357.596231	621.483637	632.588478	776.539262	348.820905	234.360857
ENST00000623795	ENSG00000277117	338.678288	779.361424	256.671809	393.818181	232.534825	589.822612
ENST00000624810	ENSG00000280071	1308.069009	658.379909	720.65456	566.963263	1145.725055	749.729893
ENST00000625036	ENSG00000280071	3494.997126	2546.401785	2525.448264	1516.550257	1001.221074	1409.156871
ENST00000620015	ENSG00000280071	483.002315	330.217716	327.928312	477.790688	761.257689	672.591032
ENST00000620528	ENSG00000280071	852.234693	669.795564	373.336278	875.569059	143.659214	535.717012
ENST00000624120	ENSG00000280071	357.434255	363.56804	397.980368	385.8859	489.640645	437.561037
ENST00000624748	ENSG00000280071	837.714709	300.045849	674.343245	1024.02423	487.574347	1013.692127
ENST00000624648	ENSG00000280071	795.295552	496.420919	555.89742	272.793697	529.190682	496.671922
ENST00000623810	ENSG00000280071	920.335952	357.306502	692.193731	1008.22653	386.974039	325.802207
ENST00000624714	ENSG00000280071	573.382308	459.400927	415.748411	283.959474	468.866756	482.282565
ENST00000623390	ENSG00000280071	1476.386224	1149.170239	702.252889	649.25494	935.698765	604.502099
ENST00000622915	ENSG00000280071	1597.174044	2239.078857	1620.91252	1205.502274	900.213809	1344.19557
ENST00000623476	ENSG00000276612	398.032139	573.302408	668.652041	176.383316	399.086222	539.950231
ENST00000617716	ENSG00000275464	351.854625	272.623162	466.564375	347.394225	547.418819	757.546322
ENST00000632537	ENSG00000275464	1003.10263	391.019034	1032.233525	256.560272	436.271854	550.404624
ENST00000623011	ENSG00000275464	375.315701	736.598765	303.936529	709.314773	315.773844	338.534239
ENST00000624312	ENSG00000275464	540.331733	1265.978077	605.137978	367.88761	697.916608	735.293586
ENST00000633442	ENSG00000275464	530.294906	585.066588	1336.421462	749.793659	971.031103	1296.580376
ENST00000633593	ENSG00000275464	499.594758	1665.82333	663.5252	797.454763	1638.52751	823.355923
ENST00000634020	ENSG00000275464	713.415665	364.200143	1227.467132	844.955751	614.736986	489.617721
ENST00000634021	ENSG00000275464	385.095986	662.690283	344.7595	614.802374	376.047818	1283.071931
ENST00000623998	ENSG00000280433	316.729856	346.241983	371.849984	399.78787	382.600912	558.392546
ENST00000623744	ENSG00000280433	520.971628	217.222856	536.306188	481.899653	459.054907	381.043919
ENST00000464664	ENSG00000274559	1716.883772	1856.818398	2632.995466	1413.271127	1458.31264	1834.271776
ENST00000613488	ENSG00000275993	323.173443	361.935665	209.431718	272.344388	210.990068	259.477793
ENST00000624077	ENSG00000275993	1581.603302	1410.520749	1861.343505	2205.880547	1920.48469	1319.436138
ENST00000624691	ENSG00000274276	453.019287	715.567515	534.043649	229.582259	342.186325	814.968534
ENST00000624406	ENSG00000274276	460.226335	267.066575	429.52822	281.286514	527.07347	351.486547
ENST00000398168	ENSG00000274276	510.099239	404.877258	361.150448	461.88398	829.097681	347.248876
ENST00000618024	ENSG00000274276	626.019871	340.661953	505.943695	451.962604	343.633413	412.675886
ENST00000617706	ENSG00000274276	392.858394	310.71922	558.182814	407.860135	283.320468	275.880173
ENST00000624934	ENSG00000274276	434.346939	389.68079	215.615571	304.217303	381.059283	833.870231
ENST00000622914	ENSG00000274276	748.708502	410.630791	429.287558	492.006887	1015.692733	779.350623
ENST00000624808	ENSG00000274276	596.411379	465.686616	522.787021	259.54578	857.070411	595.842081
ENST00000623939	ENSG00000274276	427.029963	397.203214	398.290186	490.567996	510.496578	533.494455
ENST00000624921	ENSG00000274276	522.1078	542.122534	677.965967	712.008194	268.753722	405.426405
ENST00000637320	ENSG00000275895	624.576537	422.108937	629.673768	766.29346	450.902469	613.964859
ENST00000623375	ENSG00000275895	334.497491	451.891955	476.033144	313.181707	845.010009	336.09345
ENST00000610664	ENSG00000275895	310.330085	351.513906	262.451703	569.69031	500.900819	562.2968
ENST00000639996	ENSG00000275895	214.418976	482.81867	249.700274	838.334802	518.022256	561.292697
ENST00000620065	ENSG00000275895	702.190518	462.352092	458.717528	615.753886	291.900316	627.016786
ENST00000636923	ENSG00000275895	267.540075	535.250466	351.00016	367.597192	374.697065	197.910541
ENST00000624739	ENSG00000275895	513.603049	321.970572	426.431824	176.90643	199.951683	281.583108
ENST00000619610	ENSG00000275895	283.964872	319.981494	438.612381	521.576881	644.606568	316.552539
ENST00000636315	ENSG00000275895	793.07461	900.78603	940.503866	206.549961	1345.072036	617.052272
ENST00000637031	ENSG00000275895	1586.634628	4568.364983	1604.119217	2840.964916	3802.081515	2366.494803
ENST00000636177	ENSG00000275895	552.420822	308.132724	430.606261	340.428546	526.870147	555.497745
ENST00000636403	ENSG00000275895	815.06032	532.519377	423.183508	838.199292	867.004041	559.239525
ENST00000619537	ENSG00000276076	659.469697	248.382054	922.055835	164.332221	178.922242	485.761575
ENST00000624019	ENSG00000276076	1103.960355	595.374803	434.046391	341.385625	454.265436	883.725181
ENST00000624901	ENSG00000276076	715.928144	719.733304	714.82778	334.674322	993.938092	448.801432
ENST00000624932	ENSG00000276076	1124.887492	1031.942949	693.320657	856.276918	426.397485	191.248491
ENST00000624534	ENSG00000273590	605.802125	538.877245	609.565457	344.188436	472.394549	594.533883
ENST00000622934	ENSG00000273590	315.225342	225.607246	380.050147	891.414532	664.558346	427.378955
ENST00000619874	ENSG00000273590	470.679309	380.219814	491.875163	626.704996	538.365063	387.399446
ENST00000612624	ENSG00000273590	523.742469	324.260626	570.527664	401.506673	543.442862	381.312344
ENST00000624304	ENSG00000273590	350.860841	743.518453	404.453074	685.870654	417.918657	515.017158
ENST00000624758	ENSG00000273590	581.23458	1343.995713	508.343329	935.269875	1329.539512	809.712058
ENST00000623661	ENSG00000273590	407.473358	582.728816	822.895506	367.454931	285.93792	495.167207
ENST00000613894	ENSG00000277277	422.33957	501.571129	219.661813	237.44045	213.415318	230.808972
ENST00000646133	ENSG00000278961	384.791019	487.020044	437.120945	570.436865	806.50115	592.352014
ENST00000643357	ENSG00000278961	335.414235	638.749895	794.88765	364.553562	404.33878	259.59458
ENST00000624951	ENSG00000278961	841.379659	738.567586	1201.671063	819.566456	883.514556	528.711576
ENST00000622690	ENSG00000276289	243.500778	354.594374	801.333547	252.102299	721.710682	302.203745
ENST00000618699	ENSG00000276289	526.568944	245.673558	729.787991	276.91065	569.198253	479.521444
ENST00000623803	ENSG00000276289	548.930508	541.579174	268.046636	685.08904	590.350482	406.846814
ENST00000617668	ENSG00000276289	669.379556	383.416069	477.356193	327.358242	419.732799	332.641456
ENST00000622113	ENSG00000274391	747.785322	344.281805	328.24482	710.816538	744.325449	205.233365
ENST00000612957	ENSG00000274391	1067.733174	511.657822	416.570534	445.389617	386.340736	420.610289
ENST00000618007	ENSG00000274391	324.926462	340.080402	391.25591	553.382951	762.939782	372.740799
ENST00000427445	ENSG00000274391	442.77512	265.323728	526.981138	218.1173	500.16099	465.083797
ENST00000612746	ENSG00000274391	642.444901	630.040333	422.976245	753.556114	422.608261	180.819919
ENST00000620442	ENSG00000166351	364.471901	319.801893	784.249415	569.933002	763.645377	312.846752
ENST00000299443	ENSG00000166351	776.542702	345.840781	318.943461	433.878382	387.710446	457.600821
ENST00000344577	ENSG00000188992	200.091208	255.075163	370.613282	306.00465	347.647037	310.546857
ENST00000536861	ENSG00000188992	876.804667	515.504086	603.026879	725.775649	364.284126	198.200127
ENST00000614229	ENSG00000188992	321.531013	714.079926	330.341125	650.258168	425.103424	888.182049
ENST00000400211	ENSG00000188992	1204.544811	542.284385	556.012223	400.530719	1780.493652	555.250262
ENST00000468643	ENSG00000185272	199.289294	425.731306	764.157362	466.101953	687.387288	749.008845
ENST00000468788	ENSG00000185272	1281.290289	488.571695	973.41748	1059.848657	555.015492	782.523204
ENST00000495055	ENSG00000185272	550.703621	464.903156	219.342621	348.894295	351.167761	788.784947
ENST00000461088	ENSG00000185272	695.009038	567.611232	546.676691	430.571214	1087.586959	663.790179
ENST00000400577	ENSG00000185272	820.645245	252.325244	412.399072	532.657729	391.064115	749.751894
ENST00000475864	ENSG00000185272	530.233806	1193.987847	1040.316389	279.461689	685.665904	326.045337
ENST00000285667	ENSG00000155304	364.121788	290.512166	291.4995	207.314955	213.178129	355.98533
ENST00000478035	ENSG00000155304	574.098436	326.001301	530.630989	322.471549	566.048239	575.497545
ENST00000400564	ENSG00000155307	493.523881	402.404133	613.230846	413.557509	657.653402	330.951406
ENST00000400566	ENSG00000155307	808.654093	218.925292	625.304725	387.008945	401.790089	783.943744
ENST00000644288	ENSG00000155307	367.185894	488.826946	551.442752	550.252038	275.199508	465.205537
ENST00000647101	ENSG00000155307	417.633698	265.868709	293.271664	315.127204	301.218605	230.944198
ENST00000619120	ENSG00000155307	435.332439	819.422322	588.713503	261.677079	427.222368	395.279865
ENST00000285670	ENSG00000155307	376.409784	515.819633	565.244432	560.972992	269.877232	459.696666
ENST00000463807	ENSG00000155307	420.704708	370.615969	939.913681	665.033829	550.142673	362.814228
ENST00000493640	ENSG00000155307	3051.780889	5042.80714	2520.902615	2314.513061	2049.534429	2521.966326
ENST00000435732	ENSG00000155307	442.510777	456.939448	436.870591	329.215167	255.905189	865.5745
ENST00000400562	ENSG00000155307	593.656394	443.622445	1001.190179	594.286291	987.780239	361.593664
ENST00000469393	ENSG00000155307	5636.962531	4915.226182	5657.470225	11859.520532	5530.573414	6070.69799
ENST00000467280	ENSG00000155307	1535.394556	610.327836	927.281246	437.079407	451.009059	1507.3
ENST00000318948	ENSG00000180530	681.657163	688.655339	406.018066	271.299277	433.973469	381.535617
ENST00000400199	ENSG00000180530	207.190063	521.297763	300.126712	256.31744	625.49189	303.903542
ENST00000400202	ENSG00000180530	381.849068	224.421323	220.685735	443.028729	286.816092	351.840667
ENST00000411932	ENSG00000180530	319.56865	439.44763	741.583221	610.049974	525.191463	482.098065
ENST00000638122	ENSG00000180530	362.009536	787.283509	1253.584377	690.662533	517.935696	472.594548
ENST00000637963	ENSG00000180530	540.738338	1017.237937	1380.58537	524.800825	667.282481	398.896847
ENST00000637630	ENSG00000180530	486.422778	599.999909	1214.370698	506.962103	475.592772	595.901744
ENST00000285679	ENSG00000155313	282.542604	573.652715	350.623107	316.525087	285.36461	245.305436
ENST00000351097	ENSG00000155313	631.84556	199.971436	221.883509	315.60266	723.623978	309.112509
ENST00000285681	ENSG00000155313	457.939284	486.609325	501.155532	673.291342	497.238716	757.147012
ENST00000400183	ENSG00000155313	184.183355	146.525197	452.164332	336.932297	401.483041	197.447229
ENST00000547201	ENSG00000155313	754.612679	409.320881	371.189679	950.410377	497.311869	384.628353
ENST00000549362	ENSG00000155313	419.163203	387.510428	776.032882	592.014597	851.31118	489.097006
ENST00000464435	ENSG00000155313	727.689748	432.44862	731.789551	922.562028	285.423533	379.80284
ENST00000453553	ENSG00000155313	591.724649	831.223703	639.742192	1115.747861	590.834582	348.866198
ENST00000449491	ENSG00000155313	543.496847	526.314086	417.587548	950.069028	477.565987	779.446174
ENST00000478932	ENSG00000155313	559.576941	229.165494	462.068671	206.045276	373.441326	444.407047
ENST00000284878	ENSG00000154639	355.262093	209.297933	290.164014	300.619737	412.656305	311.725606
ENST00000400166	ENSG00000154639	535.00963	403.943326	363.724165	388.898344	307.974685	339.350978
ENST00000356275	ENSG00000154639	3797.569699	2838.587268	3798.688509	2672.915032	2745.81397	6239.034775
ENST00000400165	ENSG00000154639	366.985567	520.796402	537.34709	421.534619	757.499885	531.819849
ENST00000400169	ENSG00000154639	614.003381	333.795494	594.894681	247.698906	840.516398	254.231859
ENST00000339775	ENSG00000154640	392.865305	247.979025	327.091682	575.307973	318.045763	823.779979
ENST00000348354	ENSG00000154640	472.784484	246.589736	370.748695	401.167067	429.648386	589.159393
ENST00000471860	ENSG00000154640	422.077589	770.295538	323.37103	280.234877	423.724112	277.702515
ENST00000496601	ENSG00000154640	597.073545	1994.66728	589.448427	860.569018	582.954585	904.150041
ENST00000464058	ENSG00000154640	378.558458	952.891872	787.685473	385.575781	462.184315	1298.193521
ENST00000457956	ENSG00000154640	384.732908	658.910936	534.965459	949.758196	783.198085	588.240348
ENST00000284881	ENSG00000154642	545.22378	433.054419	324.740988	300.663994	311.644021	700.457503
ENST00000400559	ENSG00000154642	459.064558	549.396392	352.095779	332.15008	860.788132	816.872808
ENST00000400558	ENSG00000154642	514.332564	389.058999	443.513621	241.875933	327.2509	609.351374
ENST00000405964	ENSG00000154642	381.924693	753.960227	997.772184	399.429959	473.812136	441.779225
ENST00000493464	ENSG00000154642	623.690141	789.892043	423.43079	297.190436	997.966701	299.095884
ENST00000482915	ENSG00000154642	822.470211	435.756652	330.990253	520.1906	805.156344	322.832871
ENST00000400128	ENSG00000154645	471.184622	433.606011	202.699254	483.153262	352.774973	347.273559
ENST00000400131	ENSG00000154645	503.724664	275.040282	588.20897	321.732408	203.591132	648.195766
