UniqueCount	AmbigCount
0	467
0	2341
1	1232
199	6226
37	1705
0	4460
41	619
65	124
33	3066
1	3980
0	1561
145	508
0	1483
0	1182
50	1466
101	127
179	366
106	3061
85	3516
8	635
186	2605
41	248
308	3
127	3
76	301
219	251
255	6186
0	5746
345	0
226	3647
115	299
210	8013
0	9336
0	9670
0	8525
0	9639
0	7790
177	290
0	1240
25	1285
23	1279
0	2744
93	2931
0	2626
0	3004
0	2953
21	2778
71	4749
0	1943
0	1224
136	94
329	2385
0	559
5	1531
17	704
0	1009
0	1176
172	0
0	1396
0	922
0	906
10	1347
137	916
0	951
153	384
382	370
52	656
187	286
0	5717
0	5700
0	1062
24	456
110	1819
68	342
73	1874
92	1732
34	1528
228	638
267	638
59	1300
0	1380
80	1351
0	237
13	3439
88	604
75	2673
175	164
8	3340
15	879
1140	135
107	135
28	2427
66	3487
0	3883
78	4105
80	3582
0	3881
221	8
0	97
553	246
103	271
66	0
270	0
49	6807
45	6790
82	6802
74	455
44	267
84	13
164	13
44	4967
64	2702
134	6125
41	6240
0	881
14	620
202	5
14	445
0	637
707	1015
1386	755
60	529
161	1
70	230
99	589
276	1255
147	1287
64	326
96	13
225	204
135	80
2521	2187
124	2184
104	1393
55	1176
90	518
120	0
88	3702
0	3547
0	3580
0	3735
140	3641
26	2622
2	3473
1684	198
192	198
136	35
2121	5874
39	522
0	5874
32	420
188	28
34	680
44	680
81	493
949	8333
14	16549
308	14530
1504	5059
2270	17
223	420
782	213
88	264
78	902
25	917
46	902
74	932
117	1054
220	1087
132	249
116	3403
79	3462
205	429
0	8637
5	7191
0	8031
10	8726
32	7660
188	7033
0	6639
82	790
87	5881
122	3728
115	236
45	503
145	2509
64	838
129	0
180	15
67	0
740	216
57	216
617	1723
339	1267
0	493
15	477
19	446
29	231
5434	0
0	3718
71	3327
173	1071
0	7918
0	7967
3	7967
189	265
95	259
99	2664
163	1362
665	2533
20	2719
50	2072
51	2575
7	886
18	1107
160	400
43	3354
0	3532
50	3427
216	3257
159	263
436	532
116	219
48	2378
181	874
61	2807
17	3000
21	2820
70	52
91	79
58	1181
201	876
111	948
192	151
571	1151
0	587
76	646
0	4774
47	5213
138	4996
64	4744
0	4518
313	4607
14	3926
83	1164
134	4465
2	1641
44	1484
104	244
50	1813
54	17
62	17
71	17
209	32
26	4898
59	4898
65	0
11	1045
18	1028
66	772
160	624
188	406
171	171
0	5799
0	5746
0	5989
0	6323
15	5369
0	6373
0	6202
9	3202
716	0
744	0
594	0
111	0
429	0
246	0
94	0
156	0
202	0
211	0
358	0
180	0
232	0
228	0
125	0
55	0
138	0
79	0
158	0
176	0
191	0
75	0
71	0
150	0
65	0
100	0
230	0
98	0
152	0
132	0
162	0
150	0
432	0
246	0
85	0
92	7170
137	77
176	7128
180	4190
231	179
328	1066
35	921
59	578
34	556
253	41
359	544
0	4600
102	4361
69	4137
370	1994
282	16
40	995
4160	434
54	192
110	224
202	91
423	1
220	1
141	894
35	757
36	876
126	7
2818	635
191	32
132	0
407	2112
130	205
0	4517
0	3141
0	3632
149	2412
3	3351
45	3353
155	46
126	874
293	3040
47	251
22	1419
624	674
328	301
21	509
44	499
48	808
93	955
250	0
69	1106
0	2511
128	1587
139	706
40	893
94	1185
61	666
42	11999
0	11862
0	5284
0	11783
0	12074
4	8687
34	352
433	22
37	534
0	4173
7	864
13	4811
398	2267
27	4169
325	1707
136	3614
142	0
35	26
8	2197
201	1978
67	850
26	817
43	655
63	728
115	2485
86	125
386	2599
970	702
51	702
23	217
0	2617
549	4600
0	4462
55	193
44	3833
70	2028
0	1371
0	1678
88	1142
1	868
79	5414
97	1282
89	703
66	1991
31	710
181	1866
28	332
135	888
255	965
96	965
90	0
2144	145
9	145
191	1736
230	578
38	1827
55	846
36	1778
261	0
105	91
91	1371
77	53
203	172
16	1102
41	249
155	387
310	0
171	45
181	11
184	2143
67	1741
0	2126
60	1709
5	5954
56	5896
106	5982
131	5799
147	1
188	0
102	44
170	495
161	3136
278	539
187	39
13	601
153	2167
47	1999
138	1736
186	2
231	1039
258	930
130	13497
263	106
45	3825
236	10150
12	13824
945	9623
40	78
0	9132
61	1201
123	2
70	2
0	1514
99	1347
0	1263
0	1410
21	2032
151	3289
0	2318
86	1140
0	2302
142	0
139	3105
49	3814
37	3588
0	4716
61	2900
30	1168
84	1849
0	3035
83	3338
89	2973
114	740
113	227
75	497
42	4495
0	3705
128	988
56	4025
104	2860
125	250
171	825
321	521
0	895
249	4667
0	3737
230	4887
76	1844
41	352
92	59
23	1524
33	1484
194	102
13	1048
108	1238
150	252
372	0
184	0
11	11050
269	756
29	466
3829	14132
0	13123
42	12091
0	13729
1	13158
0	11142
0	12212
70	313
43	2221
0	8053
219	0
104	7256
180	1174
355	90
60	1035
33	965
276	0
267	670
206	99
5	123
0	1428
57	1357
0	2176
0	1355
21	708
0	2103
91	706
41	55
41	222
125	392
990	749
47	739
86	140
134	137
241	92
141	103
47	360
37	0
23	170
39	1270
83	1190
77	1298
578	1734
50	1722
5209	0
378	0
3	1400
1	926
0	909
27	706
0	963
0	1347
0	240
0	7133
0	7116
46	6751
1	7258
0	7095
27	1798
0	918
45	1009
848	138
108	0
19	7371
0	7801
0	7513
152	7318
210	7796
57	7486
140	7317
15	7313
0	7458
50	7375
56	925
596	364
153	57
67	1509
35	1509
0	9923
60	9076
58	9080
88	3058
124	2875
54	112
46	2525
429	1
54	1323
79	0
143	466
249	176
38	57
75	0
136	0
1621	0
127	175
548	6701
134	5178
41	6900
16	6427
491	3270
101	535
25	3258
24	2918
50	3168
38	2835
0	2068
3	1929
85	948
34	1266
23	543
214	0
142	268
6	584
224	1009
69	918
316	516
60	569
421	0
139	262
1185	976
12	78
823	636
170	418
0	3584
12	3425
125	0
148	50
186	128
184	1117
114	971
42	1108
34	574
175	784
65	619
1089	288
185	281
90	7
27	2259
230	2719
122	2715
18	2387
42	2387
97	0
280	405
232	1625
571	1624
27	1149
296	0
51	5222
29	5221
188	4810
128	245
99	495
98	470
221	320
29	1459
22	1354
101	1456
1403	3562
36	3838
33	597
17	952
4	952
160	887
271	213
133	263
15	1644
46	10178
39	9825
0	6661
44	9644
0	18408
63	1700
36	3636
110	1581
14	5712
370	1623
1003	18761
172	1042
0	19161
59	18380
161	228
110	3
311	16270
34	1153
151	1403
98	1481
52	4149
79	1159
50	1695
140	875
1269	2830
0	4494
457	3984
33	920
71	978
54	1167
78	965
132	0
39	398
69	418
57	24
146	724
71	724
73	9527
242	11043
216	15987
38	12430
0	12217
173	15847
23	12170
41	834
1	1988
6	12433
0	17592
4990	17278
159	73
15	6405
3	8358
154	6475
325	6629
24	8060
610	835
783	699
146	3761
12	3490
23	7243
1244	1560
10092	2338
91	2338
276	0
61	594
64	897
14	767
89	551
27	354
12	247
44	180
25	7858
119	7003
82	612
4	1665
3408	7403
154	274
153	164
23	6641
101	6250
46	2527
